,year,state,measure,value
182,2011,Kentucky,LaborPart,61.0
183,2012,Kentucky,LaborPart,60.8
184,2013,Kentucky,LaborPart,60.3
185,2014,Kentucky,LaborPart,58.6
186,2015,Kentucky,LaborPart,57.5
187,2005,Louisiana,LaborPart,62.9
188,2006,Louisiana,LaborPart,62.2
189,2007,Louisiana,LaborPart,61.7
190,2008,Louisiana,LaborPart,62.2
191,2009,Louisiana,LaborPart,60.9
192,2010,Louisiana,LaborPart,60.7
193,2011,Louisiana,LaborPart,59.6
194,2012,Louisiana,LaborPart,59.4
195,2013,Louisiana,LaborPart,59.6
196,2014,Louisiana,LaborPart,60.7
197,2015,Louisiana,LaborPart,60.5
198,2005,Maine,LaborPart,66.8
199,2006,Maine,LaborPart,66.8
200,2007,Maine,LaborPart,66.3
201,2008,Maine,LaborPart,66.0
202,2009,Maine,LaborPart,65.4
203,2010,Maine,LaborPart,64.8
204,2011,Maine,LaborPart,64.8
205,2012,Maine,LaborPart,64.9
206,2013,Maine,LaborPart,65.0
207,2014,Maine,LaborPart,64.0
208,2015,Maine,LaborPart,62.6
209,2005,Maryland,LaborPart,68.7
210,2006,Maryland,LaborPart,69.0
211,2007,Maryland,LaborPart,68.7
212,2008,Maryland,LaborPart,68.9
213,2009,Maryland,LaborPart,69.0
214,2010,Maryland,LaborPart,68.5
215,2011,Maryland,LaborPart,68.0
216,2012,Maryland,LaborPart,67.8
217,2013,Maryland,LaborPart,67.5
218,2014,Maryland,LaborPart,66.9
219,2015,Maryland,LaborPart,66.9
220,2005,Massachusetts,LaborPart,66.8
221,2006,Massachusetts,LaborPart,67.0
222,2007,Massachusetts,LaborPart,66.7
223,2008,Massachusetts,LaborPart,66.6
224,2009,Massachusetts,LaborPart,66.3
225,2010,Massachusetts,LaborPart,66.3
226,2011,Massachusetts,LaborPart,65.5
227,2012,Massachusetts,LaborPart,65.1
228,2013,Massachusetts,LaborPart,65.0
229,2014,Massachusetts,LaborPart,65.3
230,2015,Massachusetts,LaborPart,65.2
231,2005,Michigan,LaborPart,65.7
232,2006,Michigan,LaborPart,65.4
233,2007,Michigan,LaborPart,64.4
234,2008,Michigan,LaborPart,63.3
235,2009,Michigan,LaborPart,63.1
236,2010,Michigan,LaborPart,62.0
237,2011,Michigan,LaborPart,60.4
238,2012,Michigan,LaborPart,60.0
239,2013,Michigan,LaborPart,60.4
240,2014,Michigan,LaborPart,60.6
241,2015,Michigan,LaborPart,60.4
242,2005,Minnesota,LaborPart,73.3
243,2006,Minnesota,LaborPart,72.7
244,2007,Minnesota,LaborPart,72.4
245,2008,Minnesota,LaborPart,72.2
246,2009,Minnesota,LaborPart,72.0
247,2010,Minnesota,LaborPart,71.4
248,2011,Minnesota,LaborPart,71.0
249,2012,Minnesota,LaborPart,70.4
250,2013,Minnesota,LaborPart,70.1
251,2014,Minnesota,LaborPart,69.9
252,2015,Minnesota,LaborPart,70.0
253,2005,Mississippi,LaborPart,61.5
254,2006,Mississippi,LaborPart,60.0
255,2007,Mississippi,LaborPart,60.0
256,2008,Mississippi,LaborPart,59.8
257,2009,Mississippi,LaborPart,57.7
258,2010,Mississippi,LaborPart,58.6
259,2011,Mississippi,LaborPart,59.8
260,2012,Mississippi,LaborPart,58.4
261,2013,Mississippi,LaborPart,56.2
262,2014,Mississippi,LaborPart,55.0
263,2015,Mississippi,LaborPart,55.5
264,2005,Missouri,LaborPart,67.9
265,2006,Missouri,LaborPart,67.5
266,2007,Missouri,LaborPart,66.9
267,2008,Missouri,LaborPart,66.2
268,2009,Missouri,LaborPart,66.1
269,2010,Missouri,LaborPart,66.0
270,2011,Missouri,LaborPart,65.6
271,2012,Missouri,LaborPart,64.8
272,2013,Missouri,LaborPart,64.4
273,2014,Missouri,LaborPart,64.7
274,2015,Missouri,LaborPart,65.0
275,2005,Montana,LaborPart,66.7
276,2006,Montana,LaborPart,66.7
277,2007,Montana,LaborPart,66.9
278,2008,Montana,LaborPart,67.0
279,2009,Montana,LaborPart,65.3
280,2010,Montana,LaborPart,64.4
281,2011,Montana,LaborPart,63.9
282,2012,Montana,LaborPart,64.0
283,2013,Montana,LaborPart,63.9
284,2014,Montana,LaborPart,63.5
285,2015,Montana,LaborPart,63.6
286,2005,Nebraska,LaborPart,73.5
287,2006,Nebraska,LaborPart,72.7
288,2007,Nebraska,LaborPart,72.9
289,2008,Nebraska,LaborPart,73.2
290,2009,Nebraska,LaborPart,72.7
291,2010,Nebraska,LaborPart,71.7
292,2011,Nebraska,LaborPart,71.7
293,2012,Nebraska,LaborPart,72.0
294,2013,Nebraska,LaborPart,71.7
295,2014,Nebraska,LaborPart,70.6
296,2015,Nebraska,LaborPart,69.9
297,2005,Nevada,LaborPart,67.3
298,2006,Nevada,LaborPart,68.2
299,2007,Nevada,LaborPart,68.6
300,2008,Nevada,LaborPart,69.0
301,2009,Nevada,LaborPart,67.5
302,2010,Nevada,LaborPart,65.9
303,2011,Nevada,LaborPart,65.6
304,2012,Nevada,LaborPart,64.8
305,2013,Nevada,LaborPart,64.1
306,2014,Nevada,LaborPart,63.3
307,2015,Nevada,LaborPart,62.9
308,2005,New Hampshire,LaborPart,71.2
309,2006,New Hampshire,LaborPart,70.9
310,2007,New Hampshire,LaborPart,70.8
311,2008,New Hampshire,LaborPart,70.7
312,2009,New Hampshire,LaborPart,70.4
313,2010,New Hampshire,LaborPart,69.9
314,2011,New Hampshire,LaborPart,69.5
315,2012,New Hampshire,LaborPart,69.4
316,2013,New Hampshire,LaborPart,69.0
317,2014,New Hampshire,LaborPart,68.7
318,2015,New Hampshire,LaborPart,68.5
319,2005,New Jersey,LaborPart,66.2
320,2006,New Jersey,LaborPart,66.8
321,2007,New Jersey,LaborPart,66.4
322,2008,New Jersey,LaborPart,67.0
323,2009,New Jersey,LaborPart,67.3
324,2010,New Jersey,LaborPart,66.4
325,2011,New Jersey,LaborPart,66.0
326,2012,New Jersey,LaborPart,66.0
327,2013,New Jersey,LaborPart,65.2
328,2014,New Jersey,LaborPart,64.1
329,2015,New Jersey,LaborPart,64.0
330,2005,New Mexico,LaborPart,63.9
331,2006,New Mexico,LaborPart,63.5
332,2007,New Mexico,LaborPart,63.0
333,2008,New Mexico,LaborPart,63.0
334,2009,New Mexico,LaborPart,62.0
335,2010,New Mexico,LaborPart,60.0
336,2011,New Mexico,LaborPart,58.8
337,2012,New Mexico,LaborPart,58.2
338,2013,New Mexico,LaborPart,57.7
339,2014,New Mexico,LaborPart,58.0
340,2015,New Mexico,LaborPart,58.0
341,2005,New York,LaborPart,63.0
342,2006,New York,LaborPart,63.0
343,2007,New York,LaborPart,62.7
344,2008,New York,LaborPart,63.3
345,2009,New York,LaborPart,62.8
346,2010,New York,LaborPart,62.4
347,2011,New York,LaborPart,61.5
348,2012,New York,LaborPart,61.8
349,2013,New York,LaborPart,61.8
350,2014,New York,LaborPart,60.7
351,2015,New York,LaborPart,60.8
352,2005,North Carolina,LaborPart,65.7
353,2006,North Carolina,LaborPart,66.1
354,2007,North Carolina,LaborPart,65.6
355,2008,North Carolina,LaborPart,65.0
356,2009,North Carolina,LaborPart,64.2
357,2010,North Carolina,LaborPart,63.3
358,2011,North Carolina,LaborPart,62.5
359,2012,North Carolina,LaborPart,62.4
360,2013,North Carolina,LaborPart,61.8
361,2014,North Carolina,LaborPart,61.1
362,2015,North Carolina,LaborPart,61.2
363,2005,North Dakota,LaborPart,72.3
364,2006,North Dakota,LaborPart,73.2
365,2007,North Dakota,LaborPart,74.1
366,2008,North Dakota,LaborPart,74.4
367,2009,North Dakota,LaborPart,73.2
368,2010,North Dakota,LaborPart,72.6
369,2011,North Dakota,LaborPart,72.9
370,2012,North Dakota,LaborPart,73.2
371,2013,North Dakota,LaborPart,72.8
372,2014,North Dakota,LaborPart,72.6
373,2015,North Dakota,LaborPart,71.4
374,2005,Ohio,LaborPart,66.8
375,2006,Ohio,LaborPart,67.1
376,2007,Ohio,LaborPart,67.3
377,2008,Ohio,LaborPart,66.8
378,2009,Ohio,LaborPart,66.0
379,2010,Ohio,LaborPart,65.2
380,2011,Ohio,LaborPart,64.2
381,2012,Ohio,LaborPart,63.2
382,2013,Ohio,LaborPart,63.1
383,2014,Ohio,LaborPart,62.7
384,2015,Ohio,LaborPart,62.4
385,2005,Oklahoma,LaborPart,64.1
386,2006,Oklahoma,LaborPart,63.8
387,2007,Oklahoma,LaborPart,63.5
388,2008,Oklahoma,LaborPart,63.7
389,2009,Oklahoma,LaborPart,63.6
390,2010,Oklahoma,LaborPart,62.4
391,2011,Oklahoma,LaborPart,61.8
392,2012,Oklahoma,LaborPart,62.3
393,2013,Oklahoma,LaborPart,61.7
394,2014,Oklahoma,LaborPart,61.1
395,2015,Oklahoma,LaborPart,61.7
396,2005,Oregon,LaborPart,65.4
397,2006,Oregon,LaborPart,65.5
398,2007,Oregon,LaborPart,65.7
399,2008,Oregon,LaborPart,65.8
400,2009,Oregon,LaborPart,65.7
401,2010,Oregon,LaborPart,65.4
402,2011,Oregon,LaborPart,65.0
403,2012,Oregon,LaborPart,63.1
404,2013,Oregon,LaborPart,61.1
405,2014,Oregon,LaborPart,61.2
406,2015,Oregon,LaborPart,61.6
407,2005,Pennsylvania,LaborPart,64.4
408,2006,Pennsylvania,LaborPart,64.4
409,2007,Pennsylvania,LaborPart,64.5
410,2008,Pennsylvania,LaborPart,65.2
411,2009,Pennsylvania,LaborPart,64.4
412,2010,Pennsylvania,LaborPart,63.5
413,2011,Pennsylvania,LaborPart,63.2
414,2012,Pennsylvania,LaborPart,63.6
415,2013,Pennsylvania,LaborPart,63.3
416,2014,Pennsylvania,LaborPart,62.7
417,2015,Pennsylvania,LaborPart,62.8
418,2005,Rhode Island,LaborPart,67.6
419,2006,Rhode Island,LaborPart,68.4
420,2007,Rhode Island,LaborPart,68.4
421,2008,Rhode Island,LaborPart,68.0
422,2009,Rhode Island,LaborPart,67.4
423,2010,Rhode Island,LaborPart,67.3
424,2011,Rhode Island,LaborPart,66.3
425,2012,Rhode Island,LaborPart,65.9
426,2013,Rhode Island,LaborPart,65.5
427,2014,Rhode Island,LaborPart,65.2
428,2015,Rhode Island,LaborPart,64.8
429,2005,South Carolina,LaborPart,64.0
430,2006,South Carolina,LaborPart,63.8
431,2007,South Carolina,LaborPart,63.0
432,2008,South Carolina,LaborPart,62.3
433,2009,South Carolina,LaborPart,61.7
434,2010,South Carolina,LaborPart,60.5
435,2011,South Carolina,LaborPart,60.2
436,2012,South Carolina,LaborPart,59.8
437,2013,South Carolina,LaborPart,59.2
438,2014,South Carolina,LaborPart,59.2
439,2015,South Carolina,LaborPart,59.4
440,2005,South Dakota,LaborPart,73.0
441,2006,South Dakota,LaborPart,72.8
442,2007,South Dakota,LaborPart,73.2
443,2008,South Dakota,LaborPart,73.0
444,2009,South Dakota,LaborPart,72.2
445,2010,South Dakota,LaborPart,71.3
446,2011,South Dakota,LaborPart,70.7
447,2012,South Dakota,LaborPart,70.1
448,2013,South Dakota,LaborPart,69.4
449,2014,South Dakota,LaborPart,69.4
450,2015,South Dakota,LaborPart,69.4
451,2005,Tennessee,LaborPart,63.0
452,2006,Tennessee,LaborPart,64.7
453,2007,Tennessee,LaborPart,64.4
454,2008,Tennessee,LaborPart,63.4
455,2009,Tennessee,LaborPart,62.7
456,2010,Tennessee,LaborPart,62.8
457,2011,Tennessee,LaborPart,62.9
458,2012,Tennessee,LaborPart,61.8
459,2013,Tennessee,LaborPart,60.6
460,2014,Tennessee,LaborPart,59.2
461,2015,Tennessee,LaborPart,59.4
462,2005,Texas,LaborPart,66.9
463,2006,Texas,LaborPart,66.6
464,2007,Texas,LaborPart,65.7
465,2008,Texas,LaborPart,65.8
466,2009,Texas,LaborPart,65.8
467,2010,Texas,LaborPart,65.9
468,2011,Texas,LaborPart,65.9
469,2012,Texas,LaborPart,65.5
470,2013,Texas,LaborPart,65.3
471,2014,Texas,LaborPart,64.9
472,2015,Texas,LaborPart,63.8
473,2005,Utah,LaborPart,71.6
474,2006,Utah,LaborPart,71.8
475,2007,Utah,LaborPart,71.9
476,2008,Utah,LaborPart,70.9
477,2009,Utah,LaborPart,69.2
478,2010,Utah,LaborPart,68.8
479,2011,Utah,LaborPart,67.8
480,2012,Utah,LaborPart,67.8
481,2013,Utah,LaborPart,68.2
482,2014,Utah,LaborPart,68.0
483,2015,Utah,LaborPart,68.2
484,2005,Vermont,LaborPart,70.8
485,2006,Vermont,LaborPart,71.5
486,2007,Vermont,LaborPart,70.4
487,2008,Vermont,LaborPart,70.3
488,2009,Vermont,LaborPart,71.0
489,2010,Vermont,LaborPart,70.8
490,2011,Vermont,LaborPart,70.2
491,2012,Vermont,LaborPart,69.4
492,2013,Vermont,LaborPart,68.4
493,2014,Vermont,LaborPart,67.6
494,2015,Vermont,LaborPart,67.0
495,2005,Virginia,LaborPart,68.3
496,2006,Virginia,LaborPart,68.7
497,2007,Virginia,LaborPart,68.9
498,2008,Virginia,LaborPart,69.7
499,2009,Virginia,LaborPart,68.6
500,2010,Virginia,LaborPart,67.7
501,2011,Virginia,LaborPart,67.5
502,2012,Virginia,LaborPart,66.9
503,2013,Virginia,LaborPart,66.4
504,2014,Virginia,LaborPart,65.9
505,2015,Virginia,LaborPart,64.9
506,2005,Washington,LaborPart,67.7
507,2006,Washington,LaborPart,67.6
508,2007,Washington,LaborPart,68.0
509,2008,Washington,LaborPart,68.4
510,2009,Washington,LaborPart,68.3
511,2010,Washington,LaborPart,66.9
512,2011,Washington,LaborPart,65.2
513,2012,Washington,LaborPart,64.6
514,2013,Washington,LaborPart,63.7
515,2014,Washington,LaborPart,63.3
516,2015,Washington,LaborPart,63.2
517,2005,West Virginia,LaborPart,55.1
518,2006,West Virginia,LaborPart,56.0
519,2007,West Virginia,LaborPart,56.2
520,2008,West Virginia,LaborPart,56.1
521,2009,West Virginia,LaborPart,56.0
522,2010,West Virginia,LaborPart,54.9
523,2011,West Virginia,LaborPart,54.3
524,2012,West Virginia,LaborPart,54.3
525,2013,West Virginia,LaborPart,53.7
526,2014,West Virginia,LaborPart,53.2
527,2015,West Virginia,LaborPart,52.9
528,2005,Wisconsin,LaborPart,70.5
529,2006,Wisconsin,LaborPart,70.7
530,2007,Wisconsin,LaborPart,70.9
531,2008,Wisconsin,LaborPart,70.4
532,2009,Wisconsin,LaborPart,70.2
533,2010,Wisconsin,LaborPart,69.5
534,2011,Wisconsin,LaborPart,69.1
535,2012,Wisconsin,LaborPart,68.6
536,2013,Wisconsin,LaborPart,68.4
537,2014,Wisconsin,LaborPart,68.1
538,2015,Wisconsin,LaborPart,68.0
539,2005,Wyoming,LaborPart,70.9
540,2006,Wyoming,LaborPart,71.0
541,2007,Wyoming,LaborPart,71.0
542,2008,Wyoming,LaborPart,71.4
543,2009,Wyoming,LaborPart,71.8
544,2010,Wyoming,LaborPart,70.4
545,2011,Wyoming,LaborPart,70.2
546,2012,Wyoming,LaborPart,69.3
547,2013,Wyoming,LaborPart,68.4
548,2014,Wyoming,LaborPart,68.1
549,2015,Wyoming,LaborPart,67.5
550,2005,Alabama,Unemploy,4.5
551,2006,Alabama,Unemploy,4.0
552,2007,Alabama,Unemploy,4.0
553,2008,Alabama,Unemploy,5.7
554,2009,Alabama,Unemploy,11.0
555,2010,Alabama,Unemploy,10.5
556,2011,Alabama,Unemploy,9.6
557,2012,Alabama,Unemploy,8.0
558,2013,Alabama,Unemploy,7.2
559,2014,Alabama,Unemploy,6.8
560,2015,Alabama,Unemploy,6.1
561,2005,Alaska,Unemploy,6.9
562,2006,Alaska,Unemploy,6.6
563,2007,Alaska,Unemploy,6.3
564,2008,Alaska,Unemploy,6.7
565,2009,Alaska,Unemploy,7.7
566,2010,Alaska,Unemploy,7.9
567,2011,Alaska,Unemploy,7.6
568,2012,Alaska,Unemploy,7.1
569,2013,Alaska,Unemploy,7.0
570,2014,Alaska,Unemploy,6.9
571,2015,Alaska,Unemploy,6.5
572,2005,Arizona,Unemploy,4.7
573,2006,Arizona,Unemploy,4.2
574,2007,Arizona,Unemploy,3.9
575,2008,Arizona,Unemploy,6.2
576,2009,Arizona,Unemploy,9.9
577,2010,Arizona,Unemploy,10.4
578,2011,Arizona,Unemploy,9.5
579,2012,Arizona,Unemploy,8.3
580,2013,Arizona,Unemploy,7.7
581,2014,Arizona,Unemploy,6.8
582,2015,Arizona,Unemploy,6.1
583,2005,Arkansas,Unemploy,5.2
584,2006,Arkansas,Unemploy,5.2
585,2007,Arkansas,Unemploy,5.3
586,2008,Arkansas,Unemploy,5.5
587,2009,Arkansas,Unemploy,7.8
588,2010,Arkansas,Unemploy,8.2
589,2011,Arkansas,Unemploy,8.3
590,2012,Arkansas,Unemploy,7.6
591,2013,Arkansas,Unemploy,7.2
592,2014,Arkansas,Unemploy,6.0
593,2015,Arkansas,Unemploy,5.0
594,2005,California,Unemploy,5.4
595,2006,California,Unemploy,4.9
596,2007,California,Unemploy,5.4
597,2008,California,Unemploy,7.3
598,2009,California,Unemploy,11.2
599,2010,California,Unemploy,12.2
600,2011,California,Unemploy,11.7
601,2012,California,Unemploy,10.4
602,2013,California,Unemploy,8.9
603,2014,California,Unemploy,7.5
604,2015,California,Unemploy,6.2
605,2005,Colorado,Unemploy,5.0
606,2006,Colorado,Unemploy,4.3
607,2007,Colorado,Unemploy,3.7
608,2008,Colorado,Unemploy,4.8
609,2009,Colorado,Unemploy,7.3
610,2010,Colorado,Unemploy,8.7
611,2011,Colorado,Unemploy,8.4
612,2012,Colorado,Unemploy,7.9
613,2013,Colorado,Unemploy,6.9
614,2014,Colorado,Unemploy,5.0
615,2015,Colorado,Unemploy,3.9
616,2005,Connecticut,Unemploy,4.9
617,2006,Connecticut,Unemploy,4.3
618,2007,Connecticut,Unemploy,4.5
619,2008,Connecticut,Unemploy,5.7
620,2009,Connecticut,Unemploy,7.9
621,2010,Connecticut,Unemploy,9.1
622,2011,Connecticut,Unemploy,8.8
623,2012,Connecticut,Unemploy,8.3
624,2013,Connecticut,Unemploy,7.8
625,2014,Connecticut,Unemploy,6.6
626,2015,Connecticut,Unemploy,5.7
627,2005,Delaware,Unemploy,4.1
628,2006,Delaware,Unemploy,3.6
629,2007,Delaware,Unemploy,3.4
630,2008,Delaware,Unemploy,4.9
631,2009,Delaware,Unemploy,8.3
632,2010,Delaware,Unemploy,8.4
633,2011,Delaware,Unemploy,7.5
634,2012,Delaware,Unemploy,7.2
635,2013,Delaware,Unemploy,6.7
636,2014,Delaware,Unemploy,5.7
637,2015,Delaware,Unemploy,4.9
638,2005,Florida,Unemploy,3.7
639,2006,Florida,Unemploy,3.2
640,2007,Florida,Unemploy,4.0
641,2008,Florida,Unemploy,6.3
642,2009,Florida,Unemploy,10.4
643,2010,Florida,Unemploy,11.1
644,2011,Florida,Unemploy,10.0
645,2012,Florida,Unemploy,8.5
646,2013,Florida,Unemploy,7.2
647,2014,Florida,Unemploy,6.3
648,2015,Florida,Unemploy,5.5
649,2005,Georgia,Unemploy,5.3
650,2006,Georgia,Unemploy,4.7
651,2007,Georgia,Unemploy,4.5
652,2008,Georgia,Unemploy,6.2
653,2009,Georgia,Unemploy,9.9
654,2010,Georgia,Unemploy,10.5
655,2011,Georgia,Unemploy,10.2
656,2012,Georgia,Unemploy,9.2
657,2013,Georgia,Unemploy,8.2
658,2014,Georgia,Unemploy,7.1
659,2015,Georgia,Unemploy,6.0
660,2005,Hawaii,Unemploy,2.9
661,2006,Hawaii,Unemploy,2.6
662,2007,Hawaii,Unemploy,2.8
663,2008,Hawaii,Unemploy,4.3
664,2009,Hawaii,Unemploy,7.2
665,2010,Hawaii,Unemploy,6.9
666,2011,Hawaii,Unemploy,6.8
667,2012,Hawaii,Unemploy,6.0
668,2013,Hawaii,Unemploy,4.9
669,2014,Hawaii,Unemploy,4.4
670,2015,Hawaii,Unemploy,3.6
671,2005,Idaho,Unemploy,4.0
672,2006,Idaho,Unemploy,3.5
673,2007,Idaho,Unemploy,3.1
674,2008,Idaho,Unemploy,5.1
675,2009,Idaho,Unemploy,8.8
676,2010,Idaho,Unemploy,9.0
677,2011,Idaho,Unemploy,8.3
678,2012,Idaho,Unemploy,7.2
679,2013,Idaho,Unemploy,6.1
680,2014,Idaho,Unemploy,4.8
681,2015,Idaho,Unemploy,4.2
682,2005,Illinois,Unemploy,5.7
683,2006,Illinois,Unemploy,4.5
684,2007,Illinois,Unemploy,5.0
685,2008,Illinois,Unemploy,6.3
686,2009,Illinois,Unemploy,10.2
687,2010,Illinois,Unemploy,10.4
688,2011,Illinois,Unemploy,9.7
