,state,year,population,113 Cause Name,measure,value,Age-adjusted Death Rate
43,Arkansas,2005,"2,781,097","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,22.43718935369748,20.6
44,California,2005,"35,827,943","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,31.062347062459043,31.7
45,California,2005,"35,827,943",All Causes,All causes,661.5981274727383,730.7
46,California,2005,"35,827,943",Alzheimer's disease (G30),Alzheimer's disease,21.508351735403846,24.6
47,California,2005,"35,827,943",Cerebrovascular diseases (I60-I69),Stroke,43.499566804602765,49
48,California,2005,"35,827,943",Chronic lower respiratory diseases (J40-J47),CLRD,36.80925806988138,41.8
49,California,2005,"35,827,943",Diabetes mellitus (E10-E14),Diabetes,21.483231677576356,23.8
50,California,2005,"35,827,943","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,181.18818599214586,203
51,California,2005,"35,827,943",Influenza and pneumonia (J09-J18),Influenza and pneumonia,21.08131075233652,23.8
52,California,2005,"35,827,943","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,8.948322821659062,9.1
53,California,2005,"35,827,943",Malignant neoplasms (C00-C97),Cancer,152.76344500157322,168.9
54,California,2005,"35,827,943","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,6.927553725314345,7.7
55,Colorado,2005,"4,631,888","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,42.034695139433424,44.1
56,Colorado,2005,"4,631,888",All Causes,All causes,639.6311827919847,752.1
57,Colorado,2005,"4,631,888",Alzheimer's disease (G30),Alzheimer's disease,22.971194467569163,29.5
58,Colorado,2005,"4,631,888",Cerebrovascular diseases (I60-I69),Stroke,34.52156010680742,42.6
59,Colorado,2005,"4,631,888",Chronic lower respiratory diseases (J40-J47),CLRD,41.32224267944303,50.9
60,Colorado,2005,"4,631,888",Diabetes mellitus (E10-E14),Diabetes,16.256869768871788,19.3
61,Colorado,2005,"4,631,888","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,136.16477773210406,164.8
62,Colorado,2005,"4,631,888",Influenza and pneumonia (J09-J18),Influenza and pneumonia,14.378586010715285,17.6
63,Colorado,2005,"4,631,888","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,17.27157478764599,17.2
64,Colorado,2005,"4,631,888",Malignant neoplasms (C00-C97),Cancer,138.06465095874512,159.7
65,Colorado,2005,"4,631,888","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,10.147050187742018,12.5
66,Connecticut,2005,"3,506,956","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,32.33573503631069,30.3
67,Connecticut,2005,"3,506,956",All Causes,All causes,840.2443600661086,717.7
68,Connecticut,2005,"3,506,956",Alzheimer's disease (G30),Alzheimer's disease,22.155966598953622,17.4
69,Connecticut,2005,"3,506,956",Cerebrovascular diseases (I60-I69),Stroke,43.57054950218936,36.2
70,Connecticut,2005,"3,506,956",Chronic lower respiratory diseases (J40-J47),CLRD,41.945208323115544,36.1
71,Connecticut,2005,"3,506,956",Diabetes mellitus (E10-E14),Diabetes,23.12546835489239,20
72,Connecticut,2005,"3,506,956","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,218.1378950862229,180.7
73,Connecticut,2005,"3,506,956",Influenza and pneumonia (J09-J18),Influenza and pneumonia,27.26010819639596,21.9
74,Connecticut,2005,"3,506,956","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,8.411853470645196,8.1
75,Connecticut,2005,"3,506,956",Malignant neoplasms (C00-C97),Cancer,201.08607008471162,176.8
76,Connecticut,2005,"3,506,956","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,16.538559366014287,13.7
77,Delaware,2005,"845,150","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,34.66840205880613,34.5
78,Delaware,2005,"845,150",All Causes,All causes,884.1034135952199,851.4
79,Delaware,2005,"845,150",Alzheimer's disease (G30),Alzheimer's disease,21.29799443885701,21.2
80,Delaware,2005,"845,150",Cerebrovascular diseases (I60-I69),Stroke,45.43572146956162,44.3
81,Delaware,2005,"845,150",Chronic lower respiratory diseases (J40-J47),CLRD,48.63042063539017,46.8
82,Delaware,2005,"845,150",Diabetes mellitus (E10-E14),Diabetes,27.56907057918713,26.5
83,Delaware,2005,"845,150","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,240.31237058510325,232.3
84,Delaware,2005,"845,150",Influenza and pneumonia (J09-J18),Influenza and pneumonia,19.16819499497131,18.8
85,Delaware,2005,"845,150","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,9.820741880139622,9.7
86,Delaware,2005,"845,150",Malignant neoplasms (C00-C97),Cancer,212.86162219724312,199.1
87,Delaware,2005,"845,150","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,15.145240489853872,14.7
88,District of Columbia,2005,"567,136","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,36.49918185408791,35.8
89,District of Columbia,2005,"567,136",All Causes,All causes,966.7875077582802,970.6
90,District of Columbia,2005,"567,136",Alzheimer's disease (G30),Alzheimer's disease,19.748349602211814,19.7
91,District of Columbia,2005,"567,136",Cerebrovascular diseases (I60-I69),Stroke,40.73097105456187,41.2
92,District of Columbia,2005,"567,136",Chronic lower respiratory diseases (J40-J47),CLRD,23.274840602606783,24
93,District of Columbia,2005,"567,136",Diabetes mellitus (E10-E14),Diabetes,33.85431360379168,34.4
94,District of Columbia,2005,"567,136","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,267.660666929978,270.3
95,District of Columbia,2005,"567,136",Influenza and pneumonia (J09-J18),Influenza and pneumonia,17.279805901935337,17.2
96,District of Columbia,2005,"567,136","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,5.818710150651696,5.4
97,District of Columbia,2005,"567,136",Malignant neoplasms (C00-C97),Cancer,202.94955707273036,205.3
98,District of Columbia,2005,"567,136","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,11.990069401342888,12.1
99,Florida,2005,"17,842,038","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,49.70284224257341,47.1
100,Florida,2005,"17,842,038",All Causes,All causes,957.239301922796,761.9
101,Florida,2005,"17,842,038",Alzheimer's disease (G30),Alzheimer's disease,25.82664603673639,19.4
102,Florida,2005,"17,842,038",Cerebrovascular diseases (I60-I69),Stroke,52.465979503014175,40.3
103,Florida,2005,"17,842,038",Chronic lower respiratory diseases (J40-J47),CLRD,53.14415315111424,40.4
104,Florida,2005,"17,842,038",Diabetes mellitus (E10-E14),Diabetes,29.105419459368935,22.7
105,Florida,2005,"17,842,038","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,259.38180380514825,200
106,Florida,2005,"17,842,038",Influenza and pneumonia (J09-J18),Influenza and pneumonia,15.704483983275901,12.2
107,Florida,2005,"17,842,038","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,13.15432687678392,12.5
108,Florida,2005,"17,842,038",Malignant neoplasms (C00-C97),Cancer,227.5076423444452,178.4
109,Florida,2005,"17,842,038","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,13.541053998427758,10.5
110,Georgia,2005,"8,925,922","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,42.1469065044485,45
111,Georgia,2005,"8,925,922",All Causes,All causes,747.6650591389887,910.5
112,Georgia,2005,"8,925,922",Alzheimer's disease (G30),Alzheimer's disease,19.549801129788047,27.4
113,Georgia,2005,"8,925,922",Cerebrovascular diseases (I60-I69),Stroke,43.17761235197888,55.6
114,Georgia,2005,"8,925,922",Chronic lower respiratory diseases (J40-J47),CLRD,38.21453962963154,48.4
115,Georgia,2005,"8,925,922",Diabetes mellitus (E10-E14),Diabetes,19.516191156499016,23.2
116,Georgia,2005,"8,925,922","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,188.00298725442593,236
117,Georgia,2005,"8,925,922",Influenza and pneumonia (J09-J18),Influenza and pneumonia,17.880505789766033,23.5
118,Georgia,2005,"8,925,922","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,10.35187177302244,10.6
119,Georgia,2005,"8,925,922",Malignant neoplasms (C00-C97),Cancer,160.8573321613162,189.9
120,Georgia,2005,"8,925,922","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,17.02905313311051,21.2
121,Hawaii,2005,"1,292,729","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,33.72709980204668,32
122,Hawaii,2005,"1,292,729",All Causes,All causes,706.7219811731616,638.3
123,Hawaii,2005,"1,292,729",Alzheimer's disease (G30),Alzheimer's disease,14.852300830259088,13.1
124,Hawaii,2005,"1,292,729",Cerebrovascular diseases (I60-I69),Stroke,53.22074464176173,47.6
125,Hawaii,2005,"1,292,729",Chronic lower respiratory diseases (J40-J47),CLRD,22.2010955118977,19.8
126,Hawaii,2005,"1,292,729",Diabetes mellitus (E10-E14),Diabetes,16.86354990102334,15.1
127,Hawaii,2005,"1,292,729","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,179.38794596547305,160.9
128,Hawaii,2005,"1,292,729",Influenza and pneumonia (J09-J18),Influenza and pneumonia,18.642731771314793,16.5
129,Hawaii,2005,"1,292,729","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,8.277063483529805,8.2
130,Hawaii,2005,"1,292,729",Malignant neoplasms (C00-C97),Cancer,167.78458594183314,151.3
131,Hawaii,2005,"1,292,729","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,11.603360023639913,10.5
132,Idaho,2005,"1,428,241","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,42.4298140159819,43.7
133,Idaho,2005,"1,428,241",All Causes,All causes,739.0909517371367,781.2
134,Idaho,2005,"1,428,241",Alzheimer's disease (G30),Alzheimer's disease,28.496591261558798,30.7
135,Idaho,2005,"1,428,241",Cerebrovascular diseases (I60-I69),Stroke,50.271627827516504,53.9
136,Idaho,2005,"1,428,241",Chronic lower respiratory diseases (J40-J47),CLRD,50.20161163277066,54.1
137,Idaho,2005,"1,428,241",Diabetes mellitus (E10-E14),Diabetes,20.934842229007568,22.4
138,Idaho,2005,"1,428,241","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,171.53967712731955,182.6
139,Idaho,2005,"1,428,241",Influenza and pneumonia (J09-J18),Influenza and pneumonia,20.23468028154912,21.5
140,Idaho,2005,"1,428,241","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,15.963692402052594,16.5
141,Idaho,2005,"1,428,241",Malignant neoplasms (C00-C97),Cancer,165.79834915816028,174.6
142,Idaho,2005,"1,428,241","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,7.701781422042918,8.2
143,Illinois,2005,"12,609,903","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,33.164410543047,33
144,Illinois,2005,"12,609,903",All Causes,All causes,824.5424251082661,817.5
145,Illinois,2005,"12,609,903",Alzheimer's disease (G30),Alzheimer's disease,22.418887758296,21.9
146,Illinois,2005,"12,609,903",Cerebrovascular diseases (I60-I69),Stroke,49.58008003709465,49
147,Illinois,2005,"12,609,903",Chronic lower respiratory diseases (J40-J47),CLRD,40.18270402238622,40.4
148,Illinois,2005,"12,609,903",Diabetes mellitus (E10-E14),Diabetes,24.060454707700764,24
149,Illinois,2005,"12,609,903","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,223.83994547777252,220.7
150,Illinois,2005,"12,609,903",Influenza and pneumonia (J09-J18),Influenza and pneumonia,23.386381322679483,23
151,Illinois,2005,"12,609,903","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,8.612278778036595,8.6
152,Illinois,2005,"12,609,903",Malignant neoplasms (C00-C97),Cancer,192.30917160901237,192.1
153,Illinois,2005,"12,609,903","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,19.0485208331896,18.9
154,Indiana,2005,"6,278,616","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,39.49915076825848,39.3
155,Indiana,2005,"6,278,616",All Causes,All causes,886.7400076704802,874.3
156,Indiana,2005,"6,278,616",Alzheimer's disease (G30),Alzheimer's disease,26.29560399935272,26
157,Indiana,2005,"6,278,616",Cerebrovascular diseases (I60-I69),Stroke,52.49564553716934,51.9
158,Indiana,2005,"6,278,616",Chronic lower respiratory diseases (J40-J47),CLRD,55.282883998639186,54.8
159,Indiana,2005,"6,278,616",Diabetes mellitus (E10-E14),Diabetes,27.378645230095294,27
160,Indiana,2005,"6,278,616","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,231.6115526096834,227.9
161,Indiana,2005,"6,278,616",Influenza and pneumonia (J09-J18),Influenza and pneumonia,20.975960307175974,20.7
162,Indiana,2005,"6,278,616","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,11.86567230740023,11.9
163,Indiana,2005,"6,278,616",Malignant neoplasms (C00-C97),Cancer,203.8028763026756,199.8
164,Indiana,2005,"6,278,616","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,20.450366768727374,20.3
165,Iowa,2005,"2,964,454","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,40.54709568777252,36.7
166,Iowa,2005,"2,964,454",All Causes,All causes,938.1491498940446,757.5
167,Iowa,2005,"2,964,454",Alzheimer's disease (G30),Alzheimer's disease,36.499132723935,26.5
168,Iowa,2005,"2,964,454",Cerebrovascular diseases (I60-I69),Stroke,64.16021297682474,49.2
169,Iowa,2005,"2,964,454",Chronic lower respiratory diseases (J40-J47),CLRD,57.44734106179418,47
170,Iowa,2005,"2,964,454",Diabetes mellitus (E10-E14),Diabetes,24.52390895591566,20.1
171,Iowa,2005,"2,964,454","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,250.8725046838305,196.6
172,Iowa,2005,"2,964,454",Influenza and pneumonia (J09-J18),Influenza and pneumonia,30.22479012998684,22.4
173,Iowa,2005,"2,964,454","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,11.233097224649127,11.2
174,Iowa,2005,"2,964,454",Malignant neoplasms (C00-C97),Cancer,217.6792083803628,183.7
175,Iowa,2005,"2,964,454","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,8.433256174661507,6.4
176,Kansas,2005,"2,745,299","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,41.853364606186794,40.6
177,Kansas,2005,"2,745,299",All Causes,All causes,899.0641820799848,816.8
178,Kansas,2005,"2,745,299",Alzheimer's disease (G30),Alzheimer's disease,33.220425170445914,28.1
179,Kansas,2005,"2,745,299",Cerebrovascular diseases (I60-I69),Stroke,57.22509642847646,50.3
180,Kansas,2005,"2,745,299",Chronic lower respiratory diseases (J40-J47),CLRD,57.07939280930784,52.7
181,Kansas,2005,"2,745,299",Diabetes mellitus (E10-E14),Diabetes,25.862392402430483,23.8
182,Kansas,2005,"2,745,299","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,217.09839256124744,192.6
183,Kansas,2005,"2,745,299",Influenza and pneumonia (J09-J18),Influenza and pneumonia,26.590910498273594,23.1
184,Kansas,2005,"2,745,299","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,13.186177534760331,13.3
185,Kansas,2005,"2,745,299",Malignant neoplasms (C00-C97),Cancer,197.71981121182066,185.6
186,Kansas,2005,"2,745,299","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,18.83219277754445,16.9
187,Kentucky,2005,"4,182,742","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,57.498167470047164,57.4
188,Kentucky,2005,"4,182,742",All Causes,All causes,961.6419085853252,954.7
189,Kentucky,2005,"4,182,742",Alzheimer's disease (G30),Alzheimer's disease,27.422202947253265,28.7
190,Kentucky,2005,"4,182,742",Cerebrovascular diseases (I60-I69),Stroke,51.83202788983878,52.5
191,Kentucky,2005,"4,182,742",Chronic lower respiratory diseases (J40-J47),CLRD,61.63421028597987,61
192,Kentucky,2005,"4,182,742",Diabetes mellitus (E10-E14),Diabetes,28.378513424925565,27.8
193,Kentucky,2005,"4,182,742","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,257.77348925656906,257.3
194,Kentucky,2005,"4,182,742",Influenza and pneumonia (J09-J18),Influenza and pneumonia,24.409824942585512,24.9
195,Kentucky,2005,"4,182,742","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,13.531793259063075,13.4
196,Kentucky,2005,"4,182,742",Malignant neoplasms (C00-C97),Cancer,227.2432772568808,219.1
197,Kentucky,2005,"4,182,742","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,21.803878890928488,21.9
198,Louisiana,2005,"4,576,628","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,67.12365523262979,68.5
199,Louisiana,2005,"4,576,628",All Causes,All causes,969.1633228656557,"1,023.70"
200,Louisiana,2005,"4,576,628",Alzheimer's disease (G30),Alzheimer's disease,30.699458203725538,34.8
201,Louisiana,2005,"4,576,628",Cerebrovascular diseases (I60-I69),Stroke,53.948015875443666,58
202,Louisiana,2005,"4,576,628",Chronic lower respiratory diseases (J40-J47),CLRD,41.646382445765745,44.6
203,Louisiana,2005,"4,576,628",Diabetes mellitus (E10-E14),Diabetes,37.03600117815999,38.7
204,Louisiana,2005,"4,576,628","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,240.52643125025673,256.9
205,Louisiana,2005,"4,576,628",Influenza and pneumonia (J09-J18),Influenza and pneumonia,21.762747594954188,24
206,Louisiana,2005,"4,576,628","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,11.034324834791029,11
207,Louisiana,2005,"4,576,628",Malignant neoplasms (C00-C97),Cancer,202.0920205880836,208.6
208,Louisiana,2005,"4,576,628","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,25.936125898805845,27.8
209,Maine,2005,"1,318,787","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,43.90398146175235,41.7
210,Maine,2005,"1,318,787",All Causes,All causes,975.7451354919331,828.2
211,Maine,2005,"1,318,787",Alzheimer's disease (G30),Alzheimer's disease,36.09377405145789,29.9
212,Maine,2005,"1,318,787",Cerebrovascular diseases (I60-I69),Stroke,52.548288692563695,43.8
213,Maine,2005,"1,318,787",Chronic lower respiratory diseases (J40-J47),CLRD,62.93662282081944,53.2
214,Maine,2005,"1,318,787",Diabetes mellitus (E10-E14),Diabetes,29.19349371809094,24.7
215,Maine,2005,"1,318,787","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,223.00796110365056,186.5
216,Maine,2005,"1,318,787",Influenza and pneumonia (J09-J18),Influenza and pneumonia,26.69119425654029,22.3
217,Maine,2005,"1,318,787","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,13.26976987185952,12.4
218,Maine,2005,"1,318,787",Malignant neoplasms (C00-C97),Cancer,244.0121111293939,204.8
219,Maine,2005,"1,318,787","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,18.956814102656455,15.9
220,Maryland,2005,"5,592,379","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,24.604913222083127,25
221,Maryland,2005,"5,592,379",All Causes,All causes,784.8538162381341,818.1
222,Maryland,2005,"5,592,379",Alzheimer's disease (G30),Alzheimer's disease,17.13045557177008,18.7
223,Maryland,2005,"5,592,379",Cerebrovascular diseases (I60-I69),Stroke,44.27453861764376,47.1
224,Maryland,2005,"5,592,379",Chronic lower respiratory diseases (J40-J47),CLRD,34.11785932248154,36.5
225,Maryland,2005,"5,592,379",Diabetes mellitus (E10-E14),Diabetes,24.81949095367106,26
226,Maryland,2005,"5,592,379","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,207.31785166920912,217.9
227,Maryland,2005,"5,592,379",Influenza and pneumonia (J09-J18),Influenza and pneumonia,21.350484292999457,22.8
228,Maryland,2005,"5,592,379","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,8.440057442458746,8.4
229,Maryland,2005,"5,592,379",Malignant neoplasms (C00-C97),Cancer,185.44880452487217,190.4
230,Maryland,2005,"5,592,379","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,13.446871179510545,14.1
231,Massachusetts,2005,"6,403,290","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,29.78156541402935,28
232,Massachusetts,2005,"6,403,290",All Causes,All causes,841.3487441612046,741.6
233,Massachusetts,2005,"6,403,290",Alzheimer's disease (G30),Alzheimer's disease,25.58059997282647,21.1
234,Massachusetts,2005,"6,403,290",Cerebrovascular diseases (I60-I69),Stroke,46.49172534743858,39.8
235,Massachusetts,2005,"6,403,290",Chronic lower respiratory diseases (J40-J47),CLRD,41.33812462031237,36.6
236,Massachusetts,2005,"6,403,290",Diabetes mellitus (E10-E14),Diabetes,19.849171285386106,17.7
237,Massachusetts,2005,"6,403,290","Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,207.39338683707908,179
238,Massachusetts,2005,"6,403,290",Influenza and pneumonia (J09-J18),Influenza and pneumonia,30.21884062724006,25.5
239,Massachusetts,2005,"6,403,290","Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,7.496146512183581,7.2
240,Massachusetts,2005,"6,403,290",Malignant neoplasms (C00-C97),Cancer,205.8629235908416,186.3
241,Massachusetts,2005,"6,403,290","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,22.019930379539268,19.1
242,Michigan,2005,"10,051,137","Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,34.334424055706336,34
243,Michigan,2005,"10,051,137",All Causes,All causes,864.2504823086184,838.6
244,Michigan,2005,"10,051,137",Alzheimer's disease (G30),Alzheimer's disease,23.469981555320558,22.9
245,Michigan,2005,"10,051,137",Cerebrovascular diseases (I60-I69),Stroke,50.31271586488175,48.9
