,Unnamed: 0,year,state,measure,value,population
234,3319,2013,Alaska,GDP,74476.58056,"737,068"
235,3869,2013,Alaska,Log(GDP),11.21824,"737,068"
236,4419,2013,Alaska,Age,33.1,"737,068"
237,4969,2013,Alaska,People with less than 9 years of education/people with college degree or above,0.1104371,"737,068"
238,5519,2013,Alaska,Black/white,0.054614,"737,068"
239,6069,2013,Alaska,Hispanic/white,0.105628,"737,068"
240,20,2014,Alaska,Labor Force Participation,67.7,"736,283"
241,570,2014,Alaska,Unemployment rate,6.9,"736,283"
242,1120,2014,Alaska,Average household size,2.84,"736,283"
243,1670,2014,Alaska,Poverty rate,7.9,"736,283"
244,2220,2014,Alaska,"Number of corruption convictions per 1,000,000 people",1.35735,"736,283"
245,2770,2014,Alaska,Gini coefficient,0.41749999,"736,283"
246,3320,2014,Alaska,GDP,72222.72312,"736,283"
247,3870,2014,Alaska,Log(GDP),11.18751,"736,283"
248,4420,2014,Alaska,Age,33.3,"736,283"
249,4970,2014,Alaska,People with less than 9 years of education/people with college degree or above,0.0969186,"736,283"
250,5520,2014,Alaska,Black/white,0.0544824,"736,283"
251,6070,2014,Alaska,Hispanic/white,0.1082968,"736,283"
252,21,2015,Alaska,Labor Force Participation,67.0,"737,498"
253,571,2015,Alaska,Unemployment rate,6.5,"737,498"
254,1121,2015,Alaska,Average household size,2.84,"737,498"
255,1671,2015,Alaska,Poverty rate,7.0,"737,498"
256,2221,2015,Alaska,"Number of corruption convictions per 1,000,000 people",5.41688,"737,498"
257,2771,2015,Alaska,Gini coefficient,0.43220001,"737,498"
258,3321,2015,Alaska,GDP,72565.14579,"737,498"
259,3871,2015,Alaska,Log(GDP),11.19224,"737,498"
260,4421,2015,Alaska,Age,33.3,"737,498"
261,4971,2015,Alaska,People with less than 9 years of education/people with college degree or above,0.0869412,"737,498"
262,5521,2015,Alaska,Black/white,0.0578511,"737,498"
263,6071,2015,Alaska,Hispanic/white,0.1145375,"737,498"
264,22,2005,Arizona,Labor Force Participation,64.6,"5,839,077"
265,572,2005,Arizona,Unemployment rate,4.7,"5,839,077"
266,1122,2005,Arizona,Average household size,2.65,"5,839,077"
267,1672,2005,Arizona,Poverty rate,10.9,"5,839,077"
268,2222,2005,Arizona,"Number of corruption convictions per 1,000,000 people",8.22047,"5,839,077"
269,2772,2005,Arizona,Gini coefficient,0.45999998,"5,839,077"
270,3322,2005,Arizona,GDP,45123.11852,"5,839,077"
271,3872,2005,Arizona,Log(GDP),10.71715,"5,839,077"
272,4422,2005,Arizona,Age,34.5,"5,839,077"
273,4972,2005,Arizona,People with less than 9 years of education/people with college degree or above,0.2687385,"5,839,077"
274,5522,2005,Arizona,Black/white,0.0488043,"5,839,077"
275,6072,2005,Arizona,Hispanic/white,0.4757212,"5,839,077"
276,23,2006,Arizona,Labor Force Participation,64.6,"6,029,141"
277,573,2006,Arizona,Unemployment rate,4.2,"6,029,141"
278,1123,2006,Arizona,Average household size,2.72,"6,029,141"
279,1673,2006,Arizona,Poverty rate,10.1,"6,029,141"
280,2223,2006,Arizona,"Number of corruption convictions per 1,000,000 people",2.65378,"6,029,141"
281,2773,2006,Arizona,Gini coefficient,0.454,"6,029,141"
282,3323,2006,Arizona,GDP,44968.16167,"6,029,141"
283,3873,2006,Arizona,Log(GDP),10.71371,"6,029,141"
284,4423,2006,Arizona,Age,34.6,"6,029,141"
285,4973,2006,Arizona,People with less than 9 years of education/people with college degree or above,0.2777193,"6,029,141"
286,5523,2006,Arizona,Black/white,0.0542048,"6,029,141"
287,6073,2006,Arizona,Hispanic/white,0.4915748,"6,029,141"
288,24,2007,Arizona,Labor Force Participation,63.7,"6,167,681"
289,574,2007,Arizona,Unemployment rate,3.9,"6,167,681"
290,1124,2007,Arizona,Average household size,2.77,"6,167,681"
291,1674,2007,Arizona,Poverty rate,10.2,"6,167,681"
292,2224,2007,Arizona,"Number of corruption convictions per 1,000,000 people",5.18834,"6,167,681"
293,2774,2007,Arizona,Gini coefficient,0.44800001,"6,167,681"
294,3324,2007,Arizona,GDP,44947.0316,"6,167,681"
295,3874,2007,Arizona,Log(GDP),10.71324,"6,167,681"
296,4424,2007,Arizona,Age,34.9,"6,167,681"
297,4974,2007,Arizona,People with less than 9 years of education/people with college degree or above,0.3002381,"6,167,681"
298,5524,2007,Arizona,Black/white,0.0577199,"6,167,681"
299,6074,2007,Arizona,Hispanic/white,0.5046728,"6,167,681"
300,25,2008,Arizona,Labor Force Participation,63.8,"6,280,362"
301,575,2008,Arizona,Unemployment rate,6.2,"6,280,362"
302,1125,2008,Arizona,Average household size,2.81,"6,280,362"
303,1675,2008,Arizona,Poverty rate,10.3,"6,280,362"
304,2225,2008,Arizona,"Number of corruption convictions per 1,000,000 people",3.07684,"6,280,362"
305,2775,2008,Arizona,Gini coefficient,0.45300001,"6,280,362"
306,3325,2008,Arizona,GDP,42687.43954,"6,280,362"
307,3875,2008,Arizona,Log(GDP),10.66166,"6,280,362"
308,4425,2008,Arizona,Age,35.1,"6,280,362"
309,4975,2008,Arizona,People with less than 9 years of education/people with college degree or above,0.3006624,"6,280,362"
310,5525,2008,Arizona,Black/white,0.062337,"6,280,362"
311,6075,2008,Arizona,Hispanic/white,0.518033,"6,280,362"
312,26,2009,Arizona,Labor Force Participation,63.2,"6,343,154"
313,576,2009,Arizona,Unemployment rate,9.9,"6,343,154"
314,1126,2009,Arizona,Average household size,2.84,"6,343,154"
315,1676,2009,Arizona,Poverty rate,11.6,"6,343,154"
316,2226,2009,Arizona,"Number of corruption convictions per 1,000,000 people",2.88063,"6,343,154"
317,2776,2009,Arizona,Gini coefficient,0.45100001,"6,343,154"
318,3326,2009,Arizona,GDP,38673.50426,"6,343,154"
319,3876,2009,Arizona,Log(GDP),10.56291,"6,343,154"
320,4426,2009,Arizona,Age,34.9,"6,343,154"
321,4976,2009,Arizona,People with less than 9 years of education/people with college degree or above,0.2768549,"6,343,154"
322,5526,2009,Arizona,Black/white,0.0674129,"6,343,154"
323,6076,2009,Arizona,Hispanic/white,0.5391872,"6,343,154"
324,27,2010,Arizona,Labor Force Participation,63.1,"6,407,172"
325,577,2010,Arizona,Unemployment rate,10.4,"6,407,172"
326,1127,2010,Arizona,Average household size,2.69,"6,407,172"
327,1677,2010,Arizona,Poverty rate,12.5,"6,407,172"
328,2227,2010,Arizona,"Number of corruption convictions per 1,000,000 people",2.49465,"6,407,172"
329,2777,2010,Arizona,Gini coefficient,0.45500001,"6,407,172"
330,3327,2010,Arizona,GDP,40145.6753,"6,407,172"
331,3877,2010,Arizona,Log(GDP),10.60027,"6,407,172"
332,4427,2010,Arizona,Age,35.9,"6,407,172"
333,4977,2010,Arizona,People with less than 9 years of education/people with college degree or above,0.2434381,"6,407,172"
334,5527,2010,Arizona,Black/white,0.0712804,"6,407,172"
335,6077,2010,Arizona,Hispanic/white,0.515392,"6,407,172"
336,28,2011,Arizona,Labor Force Participation,61.7,"6,472,643"
337,578,2011,Arizona,Unemployment rate,9.5,"6,472,643"
338,1128,2011,Arizona,Average household size,2.69,"6,472,643"
339,1678,2011,Arizona,Poverty rate,14.1,"6,472,643"
340,2228,2011,Arizona,"Number of corruption convictions per 1,000,000 people",2.7767,"6,472,643"
341,2778,2011,Arizona,Gini coefficient,0.46000001,"6,472,643"
342,3328,2011,Arizona,GDP,40603.11229,"6,472,643"
343,3878,2011,Arizona,Log(GDP),10.6116,"6,472,643"
344,4428,2011,Arizona,Age,36.2,"6,472,643"
345,4978,2011,Arizona,People with less than 9 years of education/people with college degree or above,0.2337871,"6,472,643"
346,5528,2011,Arizona,Black/white,0.0716175,"6,472,643"
347,6078,2011,Arizona,Hispanic/white,0.5249438,"6,472,643"
348,29,2012,Arizona,Labor Force Participation,60.5,"6,554,978"
349,579,2012,Arizona,Unemployment rate,8.3,"6,554,978"
350,1129,2012,Arizona,Average household size,2.68,"6,554,978"
351,1679,2012,Arizona,Poverty rate,13.6,"6,554,978"
352,2229,2012,Arizona,"Number of corruption convictions per 1,000,000 people",5.18826,"6,554,978"
353,2779,2012,Arizona,Gini coefficient,0.46079999,"6,554,978"
354,3329,2012,Arizona,GDP,40939.88294,"6,554,978"
355,3879,2012,Arizona,Log(GDP),10.61986,"6,554,978"
356,4429,2012,Arizona,Age,36.6,"6,554,978"
357,4979,2012,Arizona,People with less than 9 years of education/people with college degree or above,0.2326954,"6,554,978"
358,5529,2012,Arizona,Black/white,0.0767599,"6,554,978"
359,6079,2012,Arizona,Hispanic/white,0.529734,"6,554,978"
360,30,2013,Arizona,Labor Force Participation,59.6,"6,632,764"
361,580,2013,Arizona,Unemployment rate,7.7,"6,632,764"
362,1130,2013,Arizona,Average household size,2.7,"6,632,764"
363,1680,2013,Arizona,Poverty rate,13.6,"6,632,764"
364,2230,2013,Arizona,"Number of corruption convictions per 1,000,000 people",6.03626,"6,632,764"
365,2780,2013,Arizona,Gini coefficient,0.46810001,"6,632,764"
366,3330,2013,Arizona,GDP,40767.07299,"6,632,764"
367,3880,2013,Arizona,Log(GDP),10.61563,"6,632,764"
368,4430,2013,Arizona,Age,36.8,"6,632,764"
369,4980,2013,Arizona,People with less than 9 years of education/people with college degree or above,0.2323977,"6,632,764"
370,5530,2013,Arizona,Black/white,0.074113,"6,632,764"
371,6080,2013,Arizona,Hispanic/white,0.5346024,"6,632,764"
372,31,2014,Arizona,Labor Force Participation,59.9,"6,730,413"
373,581,2014,Arizona,Unemployment rate,6.8,"6,730,413"
374,1131,2014,Arizona,Average household size,2.71,"6,730,413"
375,1681,2014,Arizona,Poverty rate,13.2,"6,730,413"
376,2231,2014,Arizona,"Number of corruption convictions per 1,000,000 people",4.30811,"6,730,413"
377,2781,2014,Arizona,Gini coefficient,0.46759999,"6,730,413"
378,3331,2014,Arizona,GDP,40616.10736,"6,730,413"
379,3881,2014,Arizona,Log(GDP),10.61192,"6,730,413"
380,4431,2014,Arizona,Age,36.9,"6,730,413"
381,4981,2014,Arizona,People with less than 9 years of education/people with college degree or above,0.2339924,"6,730,413"
382,5531,2014,Arizona,Black/white,0.0742684,"6,730,413"
383,6081,2014,Arizona,Hispanic/white,0.5444558,"6,730,413"
384,32,2015,Arizona,Labor Force Participation,60.0,"6,829,676"
385,582,2015,Arizona,Unemployment rate,6.1,"6,829,676"
386,1132,2015,Arizona,Average household size,2.71,"6,829,676"
387,1682,2015,Arizona,Poverty rate,12.5,"6,829,676"
388,2232,2015,Arizona,"Number of corruption convictions per 1,000,000 people",2.63618,"6,829,676"
389,2782,2015,Arizona,Gini coefficient,0.4702,"6,829,676"
390,3332,2015,Arizona,GDP,40924.32874,"6,829,676"
391,3882,2015,Arizona,Log(GDP),10.61948,"6,829,676"
392,4432,2015,Arizona,Age,37.4,"6,829,676"
393,4982,2015,Arizona,People with less than 9 years of education/people with college degree or above,0.215767,"6,829,676"
394,5532,2015,Arizona,Black/white,0.0790805,"6,829,676"
395,6082,2015,Arizona,Hispanic/white,0.5518847,"6,829,676"
396,33,2005,Arkansas,Labor Force Participation,63.7,"2,781,097"
397,583,2005,Arkansas,Unemployment rate,5.2,"2,781,097"
398,1133,2005,Arkansas,Average household size,2.48,"2,781,097"
399,1683,2005,Arkansas,Poverty rate,13.4,"2,781,097"
400,2233,2005,Arkansas,"Number of corruption convictions per 1,000,000 people",1.43828,"2,781,097"
401,2783,2005,Arkansas,Gini coefficient,0.458,"2,781,097"
402,3333,2005,Arkansas,GDP,38740.07992,"2,781,097"
403,3883,2005,Arkansas,Log(GDP),10.56463,"2,781,097"
404,4433,2005,Arkansas,Age,37.0,"2,781,097"
405,4983,2005,Arkansas,People with less than 9 years of education/people with college degree or above,0.3724655,"2,781,097"
406,5533,2005,Arkansas,Black/white,0.1981588,"2,781,097"
407,6083,2005,Arkansas,Hispanic/white,0.0610042,"2,781,097"
408,34,2006,Arkansas,Labor Force Participation,63.7,"2,821,761"
409,584,2006,Arkansas,Unemployment rate,5.2,"2,821,761"
410,1134,2006,Arkansas,Average household size,2.48,"2,821,761"
411,1684,2006,Arkansas,Poverty rate,13.1,"2,821,761"
412,2234,2006,Arkansas,"Number of corruption convictions per 1,000,000 people",3.54389,"2,821,761"
