,year,state,measure,value
58,2008,Colorado,Labor Force Participation,72.1
59,2009,Colorado,Labor Force Participation,70.9
60,2010,Colorado,Labor Force Participation,70.4
61,2011,Colorado,Labor Force Participation,69.7
62,2012,Colorado,Labor Force Participation,69
63,2013,Colorado,Labor Force Participation,68.1
64,2014,Colorado,Labor Force Participation,67.6
65,2015,Colorado,Labor Force Participation,66.8
66,2005,Connecticut,Labor Force Participation,67.1
67,2006,Connecticut,Labor Force Participation,67.9
68,2007,Connecticut,Labor Force Participation,68.5
69,2008,Connecticut,Labor Force Participation,69
70,2009,Connecticut,Labor Force Participation,68.8
71,2010,Connecticut,Labor Force Participation,68.3
72,2011,Connecticut,Labor Force Participation,67.7
73,2012,Connecticut,Labor Force Participation,66.3
74,2013,Connecticut,Labor Force Participation,65.2
75,2014,Connecticut,Labor Force Participation,65.8
76,2015,Connecticut,Labor Force Participation,65.8
77,2005,Delaware,Labor Force Participation,67
78,2006,Delaware,Labor Force Participation,67.1
79,2007,Delaware,Labor Force Participation,66.4
80,2008,Delaware,Labor Force Participation,65.9
81,2009,Delaware,Labor Force Participation,63.8
82,2010,Delaware,Labor Force Participation,62
83,2011,Delaware,Labor Force Participation,62.3
84,2012,Delaware,Labor Force Participation,62
85,2013,Delaware,Labor Force Participation,60.9
86,2014,Delaware,Labor Force Participation,61.4
87,2015,Delaware,Labor Force Participation,62.5
88,2005,Florida,Labor Force Participation,62.8
89,2006,Florida,Labor Force Participation,63.5
90,2007,Florida,Labor Force Participation,63.9
91,2008,Florida,Labor Force Participation,63.7
92,2009,Florida,Labor Force Participation,62.3
93,2010,Florida,Labor Force Participation,61.6
94,2011,Florida,Labor Force Participation,61
95,2012,Florida,Labor Force Participation,60.7
96,2013,Florida,Labor Force Participation,60.3
97,2014,Florida,Labor Force Participation,60
98,2015,Florida,Labor Force Participation,59
99,2005,Georgia,Labor Force Participation,68
100,2006,Georgia,Labor Force Participation,68.1
101,2007,Georgia,Labor Force Participation,68.1
102,2008,Georgia,Labor Force Participation,67.8
103,2009,Georgia,Labor Force Participation,65.6
104,2010,Georgia,Labor Force Participation,64.1
105,2011,Georgia,Labor Force Participation,64.3
106,2012,Georgia,Labor Force Participation,64
107,2013,Georgia,Labor Force Participation,62.9
108,2014,Georgia,Labor Force Participation,61.9
109,2015,Georgia,Labor Force Participation,61.5
110,2005,Hawaii,Labor Force Participation,65.9
111,2006,Hawaii,Labor Force Participation,66.4
112,2007,Hawaii,Labor Force Participation,65.9
113,2008,Hawaii,Labor Force Participation,65.6
114,2009,Hawaii,Labor Force Participation,64.3
115,2010,Hawaii,Labor Force Participation,62.8
116,2011,Hawaii,Labor Force Participation,62.5
117,2012,Hawaii,Labor Force Participation,60.7
118,2013,Hawaii,Labor Force Participation,60.7
119,2014,Hawaii,Labor Force Participation,61.6
120,2015,Hawaii,Labor Force Participation,62
121,2005,Idaho,Labor Force Participation,69.3
122,2006,Idaho,Labor Force Participation,68.8
123,2007,Idaho,Labor Force Participation,67.8
124,2008,Idaho,Labor Force Participation,66.6
125,2009,Idaho,Labor Force Participation,65.8
126,2010,Idaho,Labor Force Participation,65.3
127,2011,Idaho,Labor Force Participation,64.9
128,2012,Idaho,Labor Force Participation,64.5
129,2013,Idaho,Labor Force Participation,63.8
130,2014,Idaho,Labor Force Participation,63.6
131,2015,Idaho,Labor Force Participation,63.9
132,2005,Illinois,Labor Force Participation,66.6
133,2006,Illinois,Labor Force Participation,67.5
134,2007,Illinois,Labor Force Participation,68.4
135,2008,Illinois,Labor Force Participation,67.8
136,2009,Illinois,Labor Force Participation,67
137,2010,Illinois,Labor Force Participation,66.9
138,2011,Illinois,Labor Force Participation,66.2
139,2012,Illinois,Labor Force Participation,65.9
140,2013,Illinois,Labor Force Participation,65.3
141,2014,Illinois,Labor Force Participation,64.8
142,2015,Illinois,Labor Force Participation,64.7
143,2005,Indiana,Labor Force Participation,67.4
144,2006,Indiana,Labor Force Participation,67.5
145,2007,Indiana,Labor Force Participation,66.3
146,2008,Indiana,Labor Force Participation,66.3
147,2009,Indiana,Labor Force Participation,65.1
148,2010,Indiana,Labor Force Participation,64
149,2011,Indiana,Labor Force Participation,63.6
150,2012,Indiana,Labor Force Participation,63
151,2013,Indiana,Labor Force Participation,63
152,2014,Indiana,Labor Force Participation,63.3
153,2015,Indiana,Labor Force Participation,63.9
154,2005,Iowa,Labor Force Participation,71.6
155,2006,Iowa,Labor Force Participation,72.3
156,2007,Iowa,Labor Force Participation,72
157,2008,Iowa,Labor Force Participation,72.4
158,2009,Iowa,Labor Force Participation,72.3
159,2010,Iowa,Labor Force Participation,71.2
160,2011,Iowa,Labor Force Participation,70
161,2012,Iowa,Labor Force Participation,69.2
162,2013,Iowa,Labor Force Participation,69.6
163,2014,Iowa,Labor Force Participation,70.3
164,2015,Iowa,Labor Force Participation,70
165,2005,Kansas,Labor Force Participation,70.9
166,2006,Kansas,Labor Force Participation,70.5
167,2007,Kansas,Labor Force Participation,70.8
168,2008,Kansas,Labor Force Participation,71
169,2009,Kansas,Labor Force Participation,71.3
170,2010,Kansas,Labor Force Participation,69.8
171,2011,Kansas,Labor Force Participation,69
172,2012,Kansas,Labor Force Participation,68.3
173,2013,Kansas,Labor Force Participation,68.1
174,2014,Kansas,Labor Force Participation,68
175,2015,Kansas,Labor Force Participation,67.6
176,2005,Kentucky,Labor Force Participation,62.4
177,2006,Kentucky,Labor Force Participation,62.5
178,2007,Kentucky,Labor Force Participation,62.1
179,2008,Kentucky,Labor Force Participation,61.4
180,2009,Kentucky,Labor Force Participation,61.9
181,2010,Kentucky,Labor Force Participation,61.3
182,2011,Kentucky,Labor Force Participation,61
183,2012,Kentucky,Labor Force Participation,60.8
184,2013,Kentucky,Labor Force Participation,60.3
185,2014,Kentucky,Labor Force Participation,58.6
186,2015,Kentucky,Labor Force Participation,57.5
187,2005,Louisiana,Labor Force Participation,62.9
188,2006,Louisiana,Labor Force Participation,62.2
189,2007,Louisiana,Labor Force Participation,61.7
190,2008,Louisiana,Labor Force Participation,62.2
191,2009,Louisiana,Labor Force Participation,60.9
192,2010,Louisiana,Labor Force Participation,60.7
193,2011,Louisiana,Labor Force Participation,59.6
194,2012,Louisiana,Labor Force Participation,59.4
195,2013,Louisiana,Labor Force Participation,59.6
196,2014,Louisiana,Labor Force Participation,60.7
197,2015,Louisiana,Labor Force Participation,60.5
198,2005,Maine,Labor Force Participation,66.8
199,2006,Maine,Labor Force Participation,66.8
200,2007,Maine,Labor Force Participation,66.3
201,2008,Maine,Labor Force Participation,66
202,2009,Maine,Labor Force Participation,65.4
203,2010,Maine,Labor Force Participation,64.8
204,2011,Maine,Labor Force Participation,64.8
205,2012,Maine,Labor Force Participation,64.9
206,2013,Maine,Labor Force Participation,65
207,2014,Maine,Labor Force Participation,64
208,2015,Maine,Labor Force Participation,62.6
209,2005,Maryland,Labor Force Participation,68.7
210,2006,Maryland,Labor Force Participation,69
211,2007,Maryland,Labor Force Participation,68.7
212,2008,Maryland,Labor Force Participation,68.9
213,2009,Maryland,Labor Force Participation,69
214,2010,Maryland,Labor Force Participation,68.5
215,2011,Maryland,Labor Force Participation,68
216,2012,Maryland,Labor Force Participation,67.8
217,2013,Maryland,Labor Force Participation,67.5
218,2014,Maryland,Labor Force Participation,66.9
219,2015,Maryland,Labor Force Participation,66.9
220,2005,Massachusetts,Labor Force Participation,66.8
221,2006,Massachusetts,Labor Force Participation,67
222,2007,Massachusetts,Labor Force Participation,66.7
223,2008,Massachusetts,Labor Force Participation,66.6
224,2009,Massachusetts,Labor Force Participation,66.3
225,2010,Massachusetts,Labor Force Participation,66.3
226,2011,Massachusetts,Labor Force Participation,65.5
227,2012,Massachusetts,Labor Force Participation,65.1
228,2013,Massachusetts,Labor Force Participation,65
229,2014,Massachusetts,Labor Force Participation,65.3
230,2015,Massachusetts,Labor Force Participation,65.2
231,2005,Michigan,Labor Force Participation,65.7
232,2006,Michigan,Labor Force Participation,65.4
233,2007,Michigan,Labor Force Participation,64.4
234,2008,Michigan,Labor Force Participation,63.3
235,2009,Michigan,Labor Force Participation,63.1
236,2010,Michigan,Labor Force Participation,62
237,2011,Michigan,Labor Force Participation,60.4
238,2012,Michigan,Labor Force Participation,60
239,2013,Michigan,Labor Force Participation,60.4
240,2014,Michigan,Labor Force Participation,60.6
241,2015,Michigan,Labor Force Participation,60.4
242,2005,Minnesota,Labor Force Participation,73.3
243,2006,Minnesota,Labor Force Participation,72.7
244,2007,Minnesota,Labor Force Participation,72.4
245,2008,Minnesota,Labor Force Participation,72.2
246,2009,Minnesota,Labor Force Participation,72
247,2010,Minnesota,Labor Force Participation,71.4
248,2011,Minnesota,Labor Force Participation,71
249,2012,Minnesota,Labor Force Participation,70.4
250,2013,Minnesota,Labor Force Participation,70.1
251,2014,Minnesota,Labor Force Participation,69.9
252,2015,Minnesota,Labor Force Participation,70
253,2005,Mississippi,Labor Force Participation,61.5
254,2006,Mississippi,Labor Force Participation,60
255,2007,Mississippi,Labor Force Participation,60
256,2008,Mississippi,Labor Force Participation,59.8
257,2009,Mississippi,Labor Force Participation,57.7
258,2010,Mississippi,Labor Force Participation,58.6
259,2011,Mississippi,Labor Force Participation,59.8
260,2012,Mississippi,Labor Force Participation,58.4
261,2013,Mississippi,Labor Force Participation,56.2
262,2014,Mississippi,Labor Force Participation,55
263,2015,Mississippi,Labor Force Participation,55.5
264,2005,Missouri,Labor Force Participation,67.9
265,2006,Missouri,Labor Force Participation,67.5
266,2007,Missouri,Labor Force Participation,66.9
267,2008,Missouri,Labor Force Participation,66.2
268,2009,Missouri,Labor Force Participation,66.1
269,2010,Missouri,Labor Force Participation,66
270,2011,Missouri,Labor Force Participation,65.6
271,2012,Missouri,Labor Force Participation,64.8
272,2013,Missouri,Labor Force Participation,64.4
273,2014,Missouri,Labor Force Participation,64.7
274,2015,Missouri,Labor Force Participation,65
275,2005,Montana,Labor Force Participation,66.7
276,2006,Montana,Labor Force Participation,66.7
277,2007,Montana,Labor Force Participation,66.9
278,2008,Montana,Labor Force Participation,67
279,2009,Montana,Labor Force Participation,65.3
280,2010,Montana,Labor Force Participation,64.4
281,2011,Montana,Labor Force Participation,63.9
282,2012,Montana,Labor Force Participation,64
283,2013,Montana,Labor Force Participation,63.9
284,2014,Montana,Labor Force Participation,63.5
285,2015,Montana,Labor Force Participation,63.6
286,2005,Nebraska,Labor Force Participation,73.5
287,2006,Nebraska,Labor Force Participation,72.7
288,2007,Nebraska,Labor Force Participation,72.9
289,2008,Nebraska,Labor Force Participation,73.2
290,2009,Nebraska,Labor Force Participation,72.7
291,2010,Nebraska,Labor Force Participation,71.7
292,2011,Nebraska,Labor Force Participation,71.7
293,2012,Nebraska,Labor Force Participation,72
294,2013,Nebraska,Labor Force Participation,71.7
295,2014,Nebraska,Labor Force Participation,70.6
296,2015,Nebraska,Labor Force Participation,69.9
297,2005,Nevada,Labor Force Participation,67.3
298,2006,Nevada,Labor Force Participation,68.2
299,2007,Nevada,Labor Force Participation,68.6
300,2008,Nevada,Labor Force Participation,69
301,2009,Nevada,Labor Force Participation,67.5
302,2010,Nevada,Labor Force Participation,65.9
303,2011,Nevada,Labor Force Participation,65.6
304,2012,Nevada,Labor Force Participation,64.8
305,2013,Nevada,Labor Force Participation,64.1
306,2014,Nevada,Labor Force Participation,63.3
307,2015,Nevada,Labor Force Participation,62.9
308,2005,New Hampshire,Labor Force Participation,71.2
309,2006,New Hampshire,Labor Force Participation,70.9
310,2007,New Hampshire,Labor Force Participation,70.8
311,2008,New Hampshire,Labor Force Participation,70.7
312,2009,New Hampshire,Labor Force Participation,70.4
313,2010,New Hampshire,Labor Force Participation,69.9
314,2011,New Hampshire,Labor Force Participation,69.5
315,2012,New Hampshire,Labor Force Participation,69.4
316,2013,New Hampshire,Labor Force Participation,69
317,2014,New Hampshire,Labor Force Participation,68.7
318,2015,New Hampshire,Labor Force Participation,68.5
319,2005,New Jersey,Labor Force Participation,66.2
320,2006,New Jersey,Labor Force Participation,66.8
321,2007,New Jersey,Labor Force Participation,66.4
322,2008,New Jersey,Labor Force Participation,67
323,2009,New Jersey,Labor Force Participation,67.3
324,2010,New Jersey,Labor Force Participation,66.4
325,2011,New Jersey,Labor Force Participation,66
326,2012,New Jersey,Labor Force Participation,66
327,2013,New Jersey,Labor Force Participation,65.2
328,2014,New Jersey,Labor Force Participation,64.1
329,2015,New Jersey,Labor Force Participation,64
330,2005,New Mexico,Labor Force Participation,63.9
331,2006,New Mexico,Labor Force Participation,63.5
332,2007,New Mexico,Labor Force Participation,63
333,2008,New Mexico,Labor Force Participation,63
334,2009,New Mexico,Labor Force Participation,62
335,2010,New Mexico,Labor Force Participation,60
336,2011,New Mexico,Labor Force Participation,58.8
337,2012,New Mexico,Labor Force Participation,58.2
338,2013,New Mexico,Labor Force Participation,57.7
339,2014,New Mexico,Labor Force Participation,58
340,2015,New Mexico,Labor Force Participation,58
341,2005,New York,Labor Force Participation,63
342,2006,New York,Labor Force Participation,63
343,2007,New York,Labor Force Participation,62.7
344,2008,New York,Labor Force Participation,63.3
345,2009,New York,Labor Force Participation,62.8
346,2010,New York,Labor Force Participation,62.4
347,2011,New York,Labor Force Participation,61.5
348,2012,New York,Labor Force Participation,61.8
349,2013,New York,Labor Force Participation,61.8
350,2014,New York,Labor Force Participation,60.7
351,2015,New York,Labor Force Participation,60.8
352,2005,North Carolina,Labor Force Participation,65.7
353,2006,North Carolina,Labor Force Participation,66.1
354,2007,North Carolina,Labor Force Participation,65.6
355,2008,North Carolina,Labor Force Participation,65
356,2009,North Carolina,Labor Force Participation,64.2
357,2010,North Carolina,Labor Force Participation,63.3
358,2011,North Carolina,Labor Force Participation,62.5
359,2012,North Carolina,Labor Force Participation,62.4
360,2013,North Carolina,Labor Force Participation,61.8
361,2014,North Carolina,Labor Force Participation,61.1
362,2015,North Carolina,Labor Force Participation,61.2
363,2005,North Dakota,Labor Force Participation,72.3
364,2006,North Dakota,Labor Force Participation,73.2
365,2007,North Dakota,Labor Force Participation,74.1
366,2008,North Dakota,Labor Force Participation,74.4
367,2009,North Dakota,Labor Force Participation,73.2
368,2010,North Dakota,Labor Force Participation,72.6
369,2011,North Dakota,Labor Force Participation,72.9
370,2012,North Dakota,Labor Force Participation,73.2
371,2013,North Dakota,Labor Force Participation,72.8
372,2014,North Dakota,Labor Force Participation,72.6
373,2015,North Dakota,Labor Force Participation,71.4
374,2005,Ohio,Labor Force Participation,66.8
375,2006,Ohio,Labor Force Participation,67.1
376,2007,Ohio,Labor Force Participation,67.3
377,2008,Ohio,Labor Force Participation,66.8
378,2009,Ohio,Labor Force Participation,66
379,2010,Ohio,Labor Force Participation,65.2
380,2011,Ohio,Labor Force Participation,64.2
381,2012,Ohio,Labor Force Participation,63.2
382,2013,Ohio,Labor Force Participation,63.1
383,2014,Ohio,Labor Force Participation,62.7
384,2015,Ohio,Labor Force Participation,62.4
385,2005,Oklahoma,Labor Force Participation,64.1
386,2006,Oklahoma,Labor Force Participation,63.8
387,2007,Oklahoma,Labor Force Participation,63.5
388,2008,Oklahoma,Labor Force Participation,63.7
389,2009,Oklahoma,Labor Force Participation,63.6
390,2010,Oklahoma,Labor Force Participation,62.4
391,2011,Oklahoma,Labor Force Participation,61.8
392,2012,Oklahoma,Labor Force Participation,62.3
393,2013,Oklahoma,Labor Force Participation,61.7
394,2014,Oklahoma,Labor Force Participation,61.1
395,2015,Oklahoma,Labor Force Participation,61.7
396,2005,Oregon,Labor Force Participation,65.4
397,2006,Oregon,Labor Force Participation,65.5
398,2007,Oregon,Labor Force Participation,65.7
399,2008,Oregon,Labor Force Participation,65.8
400,2009,Oregon,Labor Force Participation,65.7
401,2010,Oregon,Labor Force Participation,65.4
402,2011,Oregon,Labor Force Participation,65
403,2012,Oregon,Labor Force Participation,63.1
404,2013,Oregon,Labor Force Participation,61.1
405,2014,Oregon,Labor Force Participation,61.2
406,2015,Oregon,Labor Force Participation,61.6
407,2005,Pennsylvania,Labor Force Participation,64.4
408,2006,Pennsylvania,Labor Force Participation,64.4
409,2007,Pennsylvania,Labor Force Participation,64.5
410,2008,Pennsylvania,Labor Force Participation,65.2
411,2009,Pennsylvania,Labor Force Participation,64.4
412,2010,Pennsylvania,Labor Force Participation,63.5
413,2011,Pennsylvania,Labor Force Participation,63.2
414,2012,Pennsylvania,Labor Force Participation,63.6
415,2013,Pennsylvania,Labor Force Participation,63.3
416,2014,Pennsylvania,Labor Force Participation,62.7
417,2015,Pennsylvania,Labor Force Participation,62.8
418,2005,Rhode Island,Labor Force Participation,67.6
419,2006,Rhode Island,Labor Force Participation,68.4
420,2007,Rhode Island,Labor Force Participation,68.4
421,2008,Rhode Island,Labor Force Participation,68
422,2009,Rhode Island,Labor Force Participation,67.4
423,2010,Rhode Island,Labor Force Participation,67.3
424,2011,Rhode Island,Labor Force Participation,66.3
425,2012,Rhode Island,Labor Force Participation,65.9
426,2013,Rhode Island,Labor Force Participation,65.5
427,2014,Rhode Island,Labor Force Participation,65.2
428,2015,Rhode Island,Labor Force Participation,64.8
429,2005,South Carolina,Labor Force Participation,64
430,2006,South Carolina,Labor Force Participation,63.8
431,2007,South Carolina,Labor Force Participation,63
432,2008,South Carolina,Labor Force Participation,62.3
433,2009,South Carolina,Labor Force Participation,61.7
434,2010,South Carolina,Labor Force Participation,60.5
435,2011,South Carolina,Labor Force Participation,60.2
436,2012,South Carolina,Labor Force Participation,59.8
437,2013,South Carolina,Labor Force Participation,59.2
438,2014,South Carolina,Labor Force Participation,59.2
439,2015,South Carolina,Labor Force Participation,59.4
440,2005,South Dakota,Labor Force Participation,73
441,2006,South Dakota,Labor Force Participation,72.8
442,2007,South Dakota,Labor Force Participation,73.2
443,2008,South Dakota,Labor Force Participation,73
444,2009,South Dakota,Labor Force Participation,72.2
445,2010,South Dakota,Labor Force Participation,71.3
446,2011,South Dakota,Labor Force Participation,70.7
447,2012,South Dakota,Labor Force Participation,70.1
448,2013,South Dakota,Labor Force Participation,69.4
449,2014,South Dakota,Labor Force Participation,69.4
450,2015,South Dakota,Labor Force Participation,69.4
451,2005,Tennessee,Labor Force Participation,63
452,2006,Tennessee,Labor Force Participation,64.7
453,2007,Tennessee,Labor Force Participation,64.4
454,2008,Tennessee,Labor Force Participation,63.4
455,2009,Tennessee,Labor Force Participation,62.7
456,2010,Tennessee,Labor Force Participation,62.8
457,2011,Tennessee,Labor Force Participation,62.9
458,2012,Tennessee,Labor Force Participation,61.8
459,2013,Tennessee,Labor Force Participation,60.6
460,2014,Tennessee,Labor Force Participation,59.2
461,2015,Tennessee,Labor Force Participation,59.4
462,2005,Texas,Labor Force Participation,66.9
463,2006,Texas,Labor Force Participation,66.6
464,2007,Texas,Labor Force Participation,65.7
465,2008,Texas,Labor Force Participation,65.8
466,2009,Texas,Labor Force Participation,65.8
467,2010,Texas,Labor Force Participation,65.9
468,2011,Texas,Labor Force Participation,65.9
469,2012,Texas,Labor Force Participation,65.5
470,2013,Texas,Labor Force Participation,65.3
471,2014,Texas,Labor Force Participation,64.9
472,2015,Texas,Labor Force Participation,63.8
473,2005,Utah,Labor Force Participation,71.6
474,2006,Utah,Labor Force Participation,71.8
475,2007,Utah,Labor Force Participation,71.9
476,2008,Utah,Labor Force Participation,70.9
477,2009,Utah,Labor Force Participation,69.2
478,2010,Utah,Labor Force Participation,68.8
479,2011,Utah,Labor Force Participation,67.8
480,2012,Utah,Labor Force Participation,67.8
481,2013,Utah,Labor Force Participation,68.2
482,2014,Utah,Labor Force Participation,68
483,2015,Utah,Labor Force Participation,68.2
484,2005,Vermont,Labor Force Participation,70.8
485,2006,Vermont,Labor Force Participation,71.5
486,2007,Vermont,Labor Force Participation,70.4
487,2008,Vermont,Labor Force Participation,70.3
488,2009,Vermont,Labor Force Participation,71
489,2010,Vermont,Labor Force Participation,70.8
490,2011,Vermont,Labor Force Participation,70.2
491,2012,Vermont,Labor Force Participation,69.4
492,2013,Vermont,Labor Force Participation,68.4
493,2014,Vermont,Labor Force Participation,67.6
494,2015,Vermont,Labor Force Participation,67
495,2005,Virginia,Labor Force Participation,68.3
496,2006,Virginia,Labor Force Participation,68.7
497,2007,Virginia,Labor Force Participation,68.9
498,2008,Virginia,Labor Force Participation,69.7
499,2009,Virginia,Labor Force Participation,68.6
500,2010,Virginia,Labor Force Participation,67.7
501,2011,Virginia,Labor Force Participation,67.5
502,2012,Virginia,Labor Force Participation,66.9
503,2013,Virginia,Labor Force Participation,66.4
504,2014,Virginia,Labor Force Participation,65.9
505,2015,Virginia,Labor Force Participation,64.9
506,2005,Washington,Labor Force Participation,67.7
507,2006,Washington,Labor Force Participation,67.6
508,2007,Washington,Labor Force Participation,68
509,2008,Washington,Labor Force Participation,68.4
510,2009,Washington,Labor Force Participation,68.3
511,2010,Washington,Labor Force Participation,66.9
512,2011,Washington,Labor Force Participation,65.2
513,2012,Washington,Labor Force Participation,64.6
514,2013,Washington,Labor Force Participation,63.7
515,2014,Washington,Labor Force Participation,63.3
516,2015,Washington,Labor Force Participation,63.2
517,2005,West Virginia,Labor Force Participation,55.1
518,2006,West Virginia,Labor Force Participation,56
519,2007,West Virginia,Labor Force Participation,56.2
520,2008,West Virginia,Labor Force Participation,56.1
521,2009,West Virginia,Labor Force Participation,56
522,2010,West Virginia,Labor Force Participation,54.9
523,2011,West Virginia,Labor Force Participation,54.3
524,2012,West Virginia,Labor Force Participation,54.3
525,2013,West Virginia,Labor Force Participation,53.7
526,2014,West Virginia,Labor Force Participation,53.2
527,2015,West Virginia,Labor Force Participation,52.9
528,2005,Wisconsin,Labor Force Participation,70.5
529,2006,Wisconsin,Labor Force Participation,70.7
530,2007,Wisconsin,Labor Force Participation,70.9
531,2008,Wisconsin,Labor Force Participation,70.4
532,2009,Wisconsin,Labor Force Participation,70.2
533,2010,Wisconsin,Labor Force Participation,69.5
534,2011,Wisconsin,Labor Force Participation,69.1
535,2012,Wisconsin,Labor Force Participation,68.6
536,2013,Wisconsin,Labor Force Participation,68.4
537,2014,Wisconsin,Labor Force Participation,68.1
538,2015,Wisconsin,Labor Force Participation,68
539,2005,Wyoming,Labor Force Participation,70.9
540,2006,Wyoming,Labor Force Participation,71
541,2007,Wyoming,Labor Force Participation,71
542,2008,Wyoming,Labor Force Participation,71.4
543,2009,Wyoming,Labor Force Participation,71.8
544,2010,Wyoming,Labor Force Participation,70.4
545,2011,Wyoming,Labor Force Participation,70.2
546,2012,Wyoming,Labor Force Participation,69.3
547,2013,Wyoming,Labor Force Participation,68.4
548,2014,Wyoming,Labor Force Participation,68.1
549,2015,Wyoming,Labor Force Participation,67.5
550,2005,Alabama,Unemployment rate,4.5
551,2006,Alabama,Unemployment rate,4
552,2007,Alabama,Unemployment rate,4
553,2008,Alabama,Unemployment rate,5.7
554,2009,Alabama,Unemployment rate,11
555,2010,Alabama,Unemployment rate,10.5
556,2011,Alabama,Unemployment rate,9.6
557,2012,Alabama,Unemployment rate,8
558,2013,Alabama,Unemployment rate,7.2
559,2014,Alabama,Unemployment rate,6.8
560,2015,Alabama,Unemployment rate,6.1
561,2005,Alaska,Unemployment rate,6.9
562,2006,Alaska,Unemployment rate,6.6
563,2007,Alaska,Unemployment rate,6.3
564,2008,Alaska,Unemployment rate,6.7
565,2009,Alaska,Unemployment rate,7.7
566,2010,Alaska,Unemployment rate,7.9
567,2011,Alaska,Unemployment rate,7.6
568,2012,Alaska,Unemployment rate,7.1
569,2013,Alaska,Unemployment rate,7
570,2014,Alaska,Unemployment rate,6.9
571,2015,Alaska,Unemployment rate,6.5
572,2005,Arizona,Unemployment rate,4.7
573,2006,Arizona,Unemployment rate,4.2
574,2007,Arizona,Unemployment rate,3.9
575,2008,Arizona,Unemployment rate,6.2
576,2009,Arizona,Unemployment rate,9.9
577,2010,Arizona,Unemployment rate,10.4
578,2011,Arizona,Unemployment rate,9.5
579,2012,Arizona,Unemployment rate,8.3
580,2013,Arizona,Unemployment rate,7.7
581,2014,Arizona,Unemployment rate,6.8
582,2015,Arizona,Unemployment rate,6.1
583,2005,Arkansas,Unemployment rate,5.2
584,2006,Arkansas,Unemployment rate,5.2
585,2007,Arkansas,Unemployment rate,5.3
586,2008,Arkansas,Unemployment rate,5.5
587,2009,Arkansas,Unemployment rate,7.8
588,2010,Arkansas,Unemployment rate,8.2
589,2011,Arkansas,Unemployment rate,8.3
590,2012,Arkansas,Unemployment rate,7.6
591,2013,Arkansas,Unemployment rate,7.2
592,2014,Arkansas,Unemployment rate,6
593,2015,Arkansas,Unemployment rate,5
594,2005,California,Unemployment rate,5.4
595,2006,California,Unemployment rate,4.9
596,2007,California,Unemployment rate,5.4
597,2008,California,Unemployment rate,7.3
598,2009,California,Unemployment rate,11.2
599,2010,California,Unemployment rate,12.2
600,2011,California,Unemployment rate,11.7
601,2012,California,Unemployment rate,10.4
602,2013,California,Unemployment rate,8.9
603,2014,California,Unemployment rate,7.5
604,2015,California,Unemployment rate,6.2
605,2005,Colorado,Unemployment rate,5
606,2006,Colorado,Unemployment rate,4.3
607,2007,Colorado,Unemployment rate,3.7
608,2008,Colorado,Unemployment rate,4.8
