year,state,measure,cvotes,tVotes,totvotes,value,swing,color
2000,Tennessee,Third Party Vote %,43294,3209494,1854378,2.334691201,2.334691201,#D1AA08
2000,Texas,Democrat Vote %,2799051,5291908,5985763,46.76180798,-2.227953228,#334ADC
2000,Texas,Republican Vote %,2932411,5065859,5985763,48.98976121,2.227953228,#E71212
2000,Texas,Third Party Vote %,254301,6585442,5985763,4.248430818,4.248430818,#D1AA08
2000,Utah,Democrat Vote %,304797,758754,758157,40.20235914,-16.07200092,#334ADC
2000,Utah,Republican Vote %,426648,758754,758157,56.27436006,16.07200092,#E71212
2000,Utah,Third Party Vote %,26712,2016661,758157,3.523280798,3.523280798,#D1AA08
2000,Vermont,Democrat Vote %,14918,283366,283366,5.264569497,-13.07813923,#334ADC
2000,Vermont,Republican Vote %,51977,283366,283366,18.34270872,13.07813923,#E71212
2000,Vermont,Third Party Vote %,216471,1416830,283366,76.39272178,76.39272178,#D1AA08
2000,Virginia,Democrat Vote %,1060484,1983609,2421729,43.7903663,-2.953055441,#334ADC
2000,Virginia,Republican Vote %,1131999,1876376,2421729,46.74342175,2.953055441,#E71212
2000,Virginia,Third Party Vote %,229246,4944775,2421729,9.46621195,9.46621195,#D1AA08
2000,Washington,Democrat Vote %,1245872,2382411,2382411,52.29458729,10.40941299,#334ADC
2000,Washington,Republican Vote %,997877,2116602,2382411,41.8851743,-10.40941299,#E71212
2000,Washington,Third Party Vote %,138662,2941400,2382411,5.820238406,5.820238406,#D1AA08
2000,West Virginia,Democrat Vote %,420784,579872,579872,72.56497986,53.80756443,#334ADC
2000,West Virginia,Republican Vote %,108769,224315,579872,18.75741543,-53.80756443,#E71212
2000,West Virginia,Third Party Vote %,50319,579872,579872,8.677604713,8.677604713,#D1AA08
2000,Wisconsin,Democrat Vote %,1187866,2506314,2506314,47.39493934,-4.930786805,#334ADC
2000,Wisconsin,Republican Vote %,1311447,2506314,2506314,52.32572615,4.930786805,#E71212
2000,Wisconsin,Third Party Vote %,7001,2775579,2506314,0.279334513,0.279334513,#D1AA08
2000,Wyoming,Democrat Vote %,60638,212312,212312,28.56079732,-38.25031086,#334ADC
2000,Wyoming,Republican Vote %,141848,212312,212312,66.81110818,38.25031086,#E71212
2000,Wyoming,Third Party Vote %,9826,424624,212312,4.628094502,4.628094502,#D1AA08
2002,Alabama,Democrat Vote %,507117,909355,1268802,39.9681747,-14.7768525,#334ADC
2002,Alabama,Republican Vote %,694606,1102493,1268802,54.7450272,14.7768525,#E71212
2002,Alabama,Third Party Vote %,67079,2537604,1268802,5.286798098,5.286798098,#D1AA08
2002,Alaska,Democrat Vote %,39357,227725,227725,17.28268745,-57.23043144,#334ADC
2002,Alaska,Republican Vote %,169685,227725,227725,74.51311889,57.23043144,#E71212
2002,Alaska,Third Party Vote %,18683,683175,227725,8.204193655,8.204193655,#D1AA08
2002,Arizona,Democrat Vote %,472135,1194400,1194400,39.52905224,-17.56421634,#334ADC
2002,Arizona,Republican Vote %,681922,1194400,1194400,57.09326859,17.56421634,#E71212
2002,Arizona,Third Party Vote %,40343,1562330,1194400,3.377679169,3.377679169,#D1AA08
2002,Arkansas,Democrat Vote %,392086,545221,688276,56.96639139,15.74179544,#334ADC
2002,Arkansas,Republican Vote %,283739,534650,688276,41.22459595,-15.74179544,#E71212
2002,Arkansas,Third Party Vote %,12451,296681,688276,1.809012664,1.809012664,#D1AA08
2002,California,Democrat Vote %,3731081,7135920,7258417,51.40350851,6.963157394,#334ADC
2002,California,Republican Vote %,3225666,7091220,7258417,44.44035111,-6.963157394,#E71212
2002,California,Third Party Vote %,301670,9170691,7258417,4.156140382,4.156140382,#D1AA08
2002,Colorado,Democrat Vote %,589463,1397088,1397088,42.1922599,-11.7054187,#334ADC
2002,Colorado,Republican Vote %,752998,1397088,1397088,53.8976786,11.7054187,#E71212
2002,Colorado,Third Party Vote %,54627,3268459,1397088,3.910061499,3.910061499,#D1AA08
2002,Connecticut,Democrat Vote %,509036,989309,989309,51.45369141,4.351926446,#334ADC
2002,Connecticut,Republican Vote %,465982,989309,989309,47.10176497,-4.351926446,#E71212
2002,Connecticut,Third Party Vote %,14291,1183343,989309,1.444543616,1.444543616,#D1AA08
2002,Delaware,Democrat Vote %,61011,228405,228405,26.711762,-45.3553994,#334ADC
2002,Delaware,Republican Vote %,164605,228405,228405,72.0671614,45.3553994,#E71212
2002,Delaware,Third Party Vote %,2789,228405,228405,1.221076596,1.221076596,#D1AA08
2002,Florida,Democrat Vote %,1537126,3371559,3746377,41.0296668,-16.66215119,#334ADC
2002,Florida,Republican Vote %,2161353,3652740,3746377,57.69181799,16.66215119,#E71212
2002,Florida,Third Party Vote %,47898,2181460,3746377,1.278515216,1.278515216,#D1AA08
2002,Georgia,Democrat Vote %,814295,1789675,2151261,37.85198542,-13.49566603,#334ADC
2002,Georgia,Republican Vote %,1104622,1699733,2151261,51.34765145,13.49566603,#E71212
2002,Hawaii,Democrat Vote %,232344,359984,2151261,10.80036314,10.80036314,#D1AA08
2002,Hawaii,Republican Vote %,116693,359984,265678,43.92271848,39.80231709,#334ADC
2002,Hawaii,Third Party Vote %,10947,539235,265678,4.120401388,-39.80231709,#E71212
2002,Idaho,Democrat Vote %,138038,405023,265678,51.95688013,51.95688013,#D1AA08
2002,Idaho,Republican Vote %,256348,405023,2007526,12.76934894,12.23949279,#334ADC
2002,Idaho,Third Party Vote %,10637,405023,2007526,0.529856151,-12.23949279,#E71212
2002,Illinois,Democrat Vote %,1740541,3236569,2007526,86.70079491,86.70079491,#D1AA08
2002,Illinois,Republican Vote %,1657183,3273094,2329163,71.14929269,69.80065371,#334ADC
2002,Illinois,Third Party Vote %,31412,1134739,2329163,1.348638975,-69.80065371,#E71212
2002,Indiana,Democrat Vote %,640568,1521353,2329163,27.50206834,27.50206834,#D1AA08
2002,Indiana,Republican Vote %,840694,1521353,1334329,63.00500102,60.00086935,#334ADC
2002,Indiana,Third Party Vote %,40085,2044608,1334329,3.004131665,-60.00086935,#E71212
2002,Iowa,Democrat Vote %,453550,1012622,1334329,33.99086732,33.99086732,#D1AA08
2002,Iowa,Republican Vote %,546382,1012622,818983,66.71469371,65.165211,#334ADC
2002,Iowa,Third Party Vote %,12690,2073311,818983,1.549482712,-65.165211,#E71212
2002,Kansas,Democrat Vote %,259911,621329,818983,31.73582358,31.73582358,#D1AA08
2002,Kansas,Republican Vote %,536026,829890,920903,58.20656464,54.51963996,#334ADC
2002,Kansas,Third Party Vote %,33953,1049279,920903,3.686924682,-54.51963996,#E71212
2002,Kentucky,Democrat Vote %,350924,933554,920903,38.10651067,38.10651067,#D1AA08
2002,Kentucky,Republican Vote %,693860,1094242,1191509,58.23371875,54.08284788,#334ADC
2002,Kentucky,Third Party Vote %,49458,669399,1191509,4.15087087,-54.08284788,#E71212
2002,Louisiana,Democrat Vote %,448191,1288047,1191509,37.61541037,37.61541037,#D1AA08
2002,Louisiana,Republican Vote %,793667,2080221,1166143,68.05914884,60.94492699,#334ADC
2002,Louisiana,Third Party Vote %,82962,1302700,1166143,7.114221841,-60.94492699,#E71212
2002,Maine,Democrat Vote %,289514,495294,1166143,24.82662932,24.82662932,#D1AA08
2002,Maine,Republican Vote %,205780,495294,1862941,11.04597515,-37.49286746,#334ADC
2002,Maryland,Democrat Vote %,904250,1659113,1862941,48.53884261,37.49286746,#E71212
2002,Maryland,Republican Vote %,752911,1659113,1862941,40.41518223,40.41518223,#D1AA08
2002,Maryland,Third Party Vote %,353,532277,1819471,0.019401244,-83.99589771,#334ADC
2002,Massachusetts,Democrat Vote %,1528634,2220326,1819471,84.01529895,83.99589771,#E71212
2002,Massachusetts,Republican Vote %,290484,951132,1819471,15.9652998,15.9652998,#D1AA08
2002,Massachusetts,Third Party Vote %,401208,5045991,3382560,11.86107564,-32.69612365,#334ADC
2002,Michigan,Democrat Vote %,1507174,3055897,3382560,44.55719928,32.69612365,#E71212
2002,Michigan,Republican Vote %,1474178,2750617,3382560,43.58172508,43.58172508,#D1AA08
2002,Michigan,Third Party Vote %,74545,4837790,2202068,3.385226978,-46.47295179,#334ADC
2002,Minnesota,Democrat Vote %,1097911,2201638,2202068,49.85817877,46.47295179,#E71212
2002,Minnesota,Republican Vote %,1029612,2201638,2202068,46.75659426,46.75659426,#D1AA08
2002,Minnesota,Third Party Vote %,74115,3562314,733089,10.10995936,-33.56236419,#334ADC
2002,Mississippi,Democrat Vote %,320157,677636,733089,43.67232355,33.56236419,#E71212
2002,Mississippi,Republican Vote %,338817,677636,733089,46.21771708,46.21771708,#D1AA08
2002,Mississippi,Third Party Vote %,18662,1630524,1833744,1.017699308,-44.20000829,#334ADC
2002,Missouri,Democrat Vote %,829177,1853563,1833744,45.2177076,44.20000829,#E71212
2002,Missouri,Republican Vote %,985905,1853563,1833744,53.76459309,53.76459309,#D1AA08
2002,Missouri,Third Party Vote %,38481,2267551,360814,10.6650518,-19.33184411,#334ADC
2002,Montana,Democrat Vote %,108233,331321,360814,29.99689591,19.33184411,#E71212
2002,Montana,Republican Vote %,214100,331321,360814,59.33805229,59.33805229,#D1AA08
2002,Montana,Third Party Vote %,8988,331321,442700,2.030268805,-8.550937429,#334ADC
2002,Nebraska,Democrat Vote %,46843,142014,442700,10.58120623,8.550937429,#E71212
2002,Nebraska,Republican Vote %,386869,473814,442700,87.38852496,87.38852496,#D1AA08
2002,Nebraska,Third Party Vote %,40102,615828,512362,7.826888021,-25.57918035,#334ADC
2002,Nevada,Democrat Vote %,171160,501853,512362,33.40606837,25.57918035,#E71212
2002,Nevada,Republican Vote %,301100,501853,512362,58.76704361,58.76704361,#D1AA08
2002,Nevada,Third Party Vote %,29593,1828418,460295,6.429137836,-31.78657166,#334ADC
2002,New Hampshire,Democrat Vote %,175905,443443,460295,38.21570949,31.78657166,#E71212
2002,New Hampshire,Republican Vote %,254797,443443,460295,55.35515267,55.35515267,#D1AA08
2002,New Hampshire,Third Party Vote %,12741,886886,1976909,0.64449097,-51.46736648,#334ADC
2002,New Jersey,Democrat Vote %,1030204,2006059,1976909,52.11185745,51.46736648,#E71212
2002,New Jersey,Republican Vote %,933964,1874670,1976909,47.24365158,47.24365158,#D1AA08
2002,New Jersey,Third Party Vote %,41891,3629796,479304,8.739964615,-45.93744263,#334ADC
2002,New Mexico,Democrat Vote %,262071,437495,479304,54.67740724,45.93744263,#E71212
2002,New Mexico,Republican Vote %,175342,314574,479304,36.58262814,36.58262814,#D1AA08
2002,New Mexico,Third Party Vote %,82,283258,3303541,0.002482185,-53.80910968,#334ADC
2002,New York,Democrat Vote %,1777688,4313764,3303541,53.81159186,53.80910968,#E71212
2002,New York,Republican Vote %,1525771,4064096,3303541,46.18592595,46.18592595,#D1AA08
2002,New York,Third Party Vote %,1397550,21609310,3577299,39.06718449,11.93173956,#334ADC
2002,North Carolina,Democrat Vote %,970716,1931718,3577299,27.13544493,-11.93173956,#E71212
2002,North Carolina,Republican Vote %,1209033,2244149,3577299,33.79737059,33.79737059,#D1AA08
2002,North Carolina,Third Party Vote %,64400,2047712,295430,21.79873405,-19.18322445,#334ADC
2002,North Dakota,Democrat Vote %,121073,231030,295430,40.9819585,19.18322445,#E71212
2002,North Dakota,Republican Vote %,109957,231030,295430,37.21930745,37.21930745,#D1AA08
2002,Ohio,Democrat Vote %,1331614,3032477,3158023,42.16606402,-14.0575607,#334ADC
2002,Ohio,Republican Vote %,1775555,3158023,3158023,56.22362472,14.0575607,#E71212
2002,Ohio,Third Party Vote %,50854,1280435,3158023,1.610311261,1.610311261,#D1AA08
2002,Oklahoma,Democrat Vote %,391927,805762,1001852,39.1202493,-15.46186463,#334ADC
2002,Oklahoma,Republican Vote %,546832,1001852,1001852,54.58211393,15.46186463,#E71212
2002,Oklahoma,Third Party Vote %,63093,606096,1001852,6.297636777,6.297636777,#D1AA08
2002,Oregon,Democrat Vote %,676920,1240315,1240315,54.5764584,11.92624454,#334ADC
2002,Oregon,Republican Vote %,528997,1240315,1240315,42.65021386,-11.92624454,#E71212
2002,Oregon,Third Party Vote %,34398,2699047,1240315,2.773327743,2.773327743,#D1AA08
2002,Pennsylvania,Democrat Vote %,1348665,2560872,3310313,40.74131359,-15.42467434,#334ADC
2002,Pennsylvania,Republican Vote %,1859270,3186901,3310313,56.16598793,15.42467434,#E71212
2002,Pennsylvania,Third Party Vote %,102378,4127149,3310313,3.092698485,3.092698485,#D1AA08
2002,Rhode Island,Democrat Vote %,224676,328743,328743,68.34396474,38.79595915,#334ADC
2002,Rhode Island,Republican Vote %,97137,328743,328743,29.54800558,-38.79595915,#E71212
2002,Rhode Island,Third Party Vote %,6930,657486,328743,2.108029677,2.108029677,#D1AA08
2002,South Carolina,Democrat Vote %,344972,670631,984415,35.04335062,-22.78459796,#334ADC
2002,South Carolina,Republican Vote %,569267,842443,984415,57.82794858,22.78459796,#E71212
2002,South Carolina,Third Party Vote %,70176,2602003,984415,7.128700802,7.128700802,#D1AA08
2002,South Dakota,Democrat Vote %,153551,336691,336691,45.60591165,-7.862402024,#334ADC
2002,South Dakota,Republican Vote %,180023,336691,336691,53.46831368,7.862402024,#E71212
2002,South Dakota,Third Party Vote %,3117,336691,336691,0.925774672,0.925774672,#D1AA08
2002,Tennessee,Democrat Vote %,708375,1400504,1529390,46.31748606,-4.062730893,#334ADC
2002,Tennessee,Republican Vote %,770510,1385130,1529390,50.38021695,4.062730893,#E71212
2002,Tennessee,Third Party Vote %,50505,4184468,1529390,3.302296994,3.302296994,#D1AA08
2002,Texas,Democrat Vote %,1885178,3776050,4295210,43.89024052,-9.441796792,#334ADC
2002,Texas,Republican Vote %,2290723,3893614,4295210,53.33203732,9.441796792,#E71212
2002,Texas,Third Party Vote %,119309,5106827,4295210,2.77772216,2.77772216,#D1AA08
2002,Utah,Democrat Vote %,221401,557153,557153,39.73791759,-18.05338928,#334ADC
2002,Utah,Republican Vote %,321986,557153,557153,57.79130688,18.05338928,#E71212
2002,Utah,Third Party Vote %,13766,1473130,557153,2.470775532,2.470775532,#D1AA08
2002,Vermont,Republican Vote %,72813,225255,665733,10.93726764,-11.96110152,#334ADC
2002,Vermont,Third Party Vote %,152442,901020,665733,22.89836917,11.96110152,#E71212
2002,Virginia,Democrat Vote %,440478,890568,665733,66.16436319,66.16436319,#D1AA08
2002,Virginia,Republican Vote %,955673,1273226,1983444,48.18250477,42.11573405,#334ADC
2002,Virginia,Third Party Vote %,120331,2128608,1983444,6.066770728,-42.11573405,#E71212
2002,Washington,Democrat Vote %,907440,1739116,1983444,45.7507245,45.7507245,#D1AA08
2002,Washington,Republican Vote %,778922,1739116,1095800,71.08249681,66.26829713,#334ADC
2002,Washington,Third Party Vote %,52754,1586108,1095800,4.814199671,-66.26829713,#E71212
2002,West Virginia,Democrat Vote %,264124,399949,1095800,24.10330352,24.10330352,#D1AA08
2002,West Virginia,Republican Vote %,135505,288688,812750,16.67240849,16.63303599,#334ADC
2002,West Virginia,Third Party Vote %,320,111261,812750,0.039372501,-16.63303599,#E71212
2002,Wisconsin,Democrat Vote %,676925,1244373,812750,83.28821901,83.28821901,#D1AA08
2002,Wisconsin,Republican Vote %,889146,1496179,1026582,86.61227257,79.64984775,#334ADC
2002,Wisconsin,Third Party Vote %,71475,2628566,1026582,6.962424823,-79.64984775,#E71212
2002,Wyoming,Democrat Vote %,65961,182152,1026582,6.425302606,6.425302606,#D1AA08
2002,Wyoming,Republican Vote %,110229,182152,824616,13.36731279,12.64430959,#334ADC
2002,Wyoming,Third Party Vote %,5962,182152,824616,0.723003192,-12.64430959,#E71212
2004,Alabama,Democrat Vote %,708425,1524716,824616,85.90968402,85.90968402,#D1AA08
2004,Alabama,Republican Vote %,1079657,1792759,1151408,93.76841224,93.36221392,#334ADC
2004,Alabama,Third Party Vote %,4677,1792759,1151408,0.406198324,-93.36221392,#E71212
2004,Alaska,Democrat Vote %,67074,299996,1151408,5.825389436,5.825389436,#D1AA08
2004,Alaska,Republican Vote %,213216,299996,830448,25.67481648,23.30188043,#334ADC
2004,Alaska,Third Party Vote %,19706,899988,830448,2.372936054,-23.30188043,#E71212
2004,Arizona,Democrat Vote %,597526,1389894,830448,71.95224746,71.95224746,#D1AA08
2004,Arizona,Republican Vote %,1127591,1871445,1700300,66.31717932,57.71116862,#334ADC
