year,state,measure,value,population
2014,Alabama,"Number of corruption convictions per 1,000,000 people",2.26833,"4,841,799"
2014,Alabama,Gini coefficient,0.47580001,"4,841,799"
2014,Alabama,GDP,38424.47864,"4,841,799"
2014,Alabama,Log(GDP),10.55645,"4,841,799"
2014,Alabama,Age,38.6,"4,841,799"
2014,Alabama,People with less than 9 years of education/people with college degree or above,0.2155239,"4,841,799"
2014,Alabama,Black/white,0.4029985,"4,841,799"
2014,Alabama,Hispanic/white,0.0600252,"4,841,799"
2015,Alabama,Labor Force Participation,56.8,"4,852,347"
2015,Alabama,Unemployment rate,6.1,"4,852,347"
2015,Alabama,Average household size,2.57,"4,852,347"
2015,Alabama,Poverty rate,13.7,"4,852,347"
2015,Alabama,"Number of corruption convictions per 1,000,000 people",2.88126,"4,852,347"
2015,Alabama,Gini coefficient,0.48109999,"4,852,347"
2015,Alabama,GDP,38838.6048,"4,852,347"
2015,Alabama,Log(GDP),10.56717,"4,852,347"
2015,Alabama,Age,38.7,"4,852,347"
2015,Alabama,People with less than 9 years of education/people with college degree or above,0.2003214,"4,852,347"
2015,Alabama,Black/white,0.4067625,"4,852,347"
2015,Alabama,Hispanic/white,0.0601952,"4,852,347"
2005,Alaska,Labor Force Participation,71.7,"666,946"
2005,Alaska,Unemployment rate,6.9,"666,946"
2005,Alaska,Average household size,2.75,"666,946"
2005,Alaska,Poverty rate,8.3,"666,946"
2005,Alaska,"Number of corruption convictions per 1,000,000 people",1.49937,"666,946"
2005,Alaska,Gini coefficient,0.42499998,"666,946"
2005,Alaska,GDP,70203.96009,"666,946"
2005,Alaska,Log(GDP),11.15916,"666,946"
2005,Alaska,Age,33.9,"666,946"
2005,Alaska,People with less than 9 years of education/people with college degree or above,0.1261195,"666,946"
2005,Alaska,Black/white,0.0510625,"666,946"
2005,Alaska,Hispanic/white,0.0720261,"666,946"
2006,Alaska,Labor Force Participation,71.4,"675,302"
2006,Alaska,Unemployment rate,6.6,"675,302"
2006,Alaska,Average household size,2.81,"675,302"
2006,Alaska,Poverty rate,8.2,"675,302"
2006,Alaska,"Number of corruption convictions per 1,000,000 people",4.44246,"675,302"
2006,Alaska,Gini coefficient,0.417,"675,302"
2006,Alaska,GDP,72407.85015,"675,302"
2006,Alaska,Log(GDP),11.19007,"675,302"
2006,Alaska,Age,33.5,"675,302"
2006,Alaska,People with less than 9 years of education/people with college degree or above,0.1415668,"675,302"
2006,Alaska,Black/white,0.0459945,"675,302"
2006,Alaska,Hispanic/white,0.0844656,"675,302"
2007,Alaska,Labor Force Participation,70.7,"680,300"
2007,Alaska,Unemployment rate,6.3,"680,300"
2007,Alaska,Average household size,2.8,"680,300"
2007,Alaska,Poverty rate,6.5,"680,300"
2007,Alaska,"Number of corruption convictions per 1,000,000 people",22.0491,"680,300"
2007,Alaska,Gini coefficient,0.40900001,"680,300"
2007,Alaska,GDP,74784.80488,"680,300"
2007,Alaska,Log(GDP),11.22237,"680,300"
2007,Alaska,Age,33.3,"680,300"
2007,Alaska,People with less than 9 years of education/people with college degree or above,0.1484212,"680,300"
2007,Alaska,Black/white,0.0550718,"680,300"
2007,Alaska,Hispanic/white,0.0852169,"680,300"
2008,Alaska,Labor Force Participation,71,"687,455"
2008,Alaska,Unemployment rate,6.7,"687,455"
2008,Alaska,Average household size,2.8,"687,455"
2008,Alaska,Poverty rate,5.7,"687,455"
2008,Alaska,"Number of corruption convictions per 1,000,000 people",11.6568,"687,455"
2008,Alaska,Gini coefficient,0.403,"687,455"
2008,Alaska,GDP,74142.93032,"687,455"
2008,Alaska,Log(GDP),11.21375,"687,455"
2008,Alaska,Age,33,"687,455"
2008,Alaska,People with less than 9 years of education/people with college degree or above,0.1089336,"687,455"
2008,Alaska,Black/white,0.0552909,"687,455"
2008,Alaska,Hispanic/white,0.094632,"687,455"
2009,Alaska,Labor Force Participation,70.3,"698,895"
2009,Alaska,Unemployment rate,7.7,"698,895"
2009,Alaska,Average household size,2.86,"698,895"
2009,Alaska,Poverty rate,6.2,"698,895"
2009,Alaska,"Number of corruption convictions per 1,000,000 people",1.43169,"698,895"
2009,Alaska,Gini coefficient,0.40200001,"698,895"
2009,Alaska,GDP,79942.26775,"698,895"
2009,Alaska,Log(GDP),11.28906,"698,895"
2009,Alaska,Age,32.6,"698,895"
2009,Alaska,People with less than 9 years of education/people with college degree or above,0.1143231,"698,895"
2009,Alaska,Black/white,0.0596027,"698,895"
2009,Alaska,Hispanic/white,0.0955092,"698,895"
2010,Alaska,Labor Force Participation,69.8,"713,910"
2010,Alaska,Unemployment rate,7.9,"713,910"
2010,Alaska,Average household size,2.7,"713,910"
2010,Alaska,Poverty rate,7.2,"713,910"
2010,Alaska,"Number of corruption convictions per 1,000,000 people",12.6053,"713,910"
2010,Alaska,Gini coefficient,0.42199999,"713,910"
2010,Alaska,GDP,75843.70587,"713,910"
2010,Alaska,Log(GDP),11.23643,"713,910"
2010,Alaska,Age,33.8,"713,910"
2010,Alaska,People with less than 9 years of education/people with college degree or above,0.100999,"713,910"
2010,Alaska,Black/white,0.054041,"713,910"
2010,Alaska,Hispanic/white,0.0890186,"713,910"
2011,Alaska,Labor Force Participation,69.3,"722,128"
2011,Alaska,Unemployment rate,7.6,"722,128"
2011,Alaska,Average household size,2.71,"722,128"
2011,Alaska,Poverty rate,6.9,"722,128"
2011,Alaska,"Number of corruption convictions per 1,000,000 people",5.53466,"722,128"
2011,Alaska,Gini coefficient,0.40990001,"722,128"
2011,Alaska,GDP,75611.22273,"722,128"
2011,Alaska,Log(GDP),11.23336,"722,128"
2011,Alaska,Age,33.9,"722,128"
2011,Alaska,People with less than 9 years of education/people with college degree or above,0.1161704,"722,128"
2011,Alaska,Black/white,0.0503288,"722,128"
2011,Alaska,Hispanic/white,0.0905257,"722,128"
2012,Alaska,Labor Force Participation,68.4,"730,443"
2012,Alaska,Unemployment rate,7.1,"730,443"
2012,Alaska,Average household size,2.8,"730,443"
2012,Alaska,Poverty rate,7.5,"730,443"
2012,Alaska,"Number of corruption convictions per 1,000,000 people",5.4686,"730,443"
2012,Alaska,Gini coefficient,0.42320001,"730,443"
2012,Alaska,GDP,78843.48786,"730,443"
2012,Alaska,Log(GDP),11.27522,"730,443"
2012,Alaska,Age,33.8,"730,443"
2012,Alaska,People with less than 9 years of education/people with college degree or above,0.105484,"730,443"
2012,Alaska,Black/white,0.0569157,"730,443"
2012,Alaska,Hispanic/white,0.0948761,"730,443"
2013,Alaska,Labor Force Participation,67.9,"737,068"
2013,Alaska,Unemployment rate,7,"737,068"
2013,Alaska,Average household size,2.88,"737,068"
2013,Alaska,Poverty rate,5.9,"737,068"
2013,Alaska,"Number of corruption convictions per 1,000,000 people",2.7206,"737,068"
2013,Alaska,Gini coefficient,0.40830001,"737,068"
2013,Alaska,GDP,74476.58056,"737,068"
2013,Alaska,Log(GDP),11.21824,"737,068"
2013,Alaska,Age,33.1,"737,068"
2013,Alaska,People with less than 9 years of education/people with college degree or above,0.1104371,"737,068"
2013,Alaska,Black/white,0.054614,"737,068"
2013,Alaska,Hispanic/white,0.105628,"737,068"
2014,Alaska,Labor Force Participation,67.7,"736,283"
2014,Alaska,Unemployment rate,6.9,"736,283"
2014,Alaska,Average household size,2.84,"736,283"
2014,Alaska,Poverty rate,7.9,"736,283"
2014,Alaska,"Number of corruption convictions per 1,000,000 people",1.35735,"736,283"
2014,Alaska,Gini coefficient,0.41749999,"736,283"
2014,Alaska,GDP,72222.72312,"736,283"
2014,Alaska,Log(GDP),11.18751,"736,283"
2014,Alaska,Age,33.3,"736,283"
2014,Alaska,People with less than 9 years of education/people with college degree or above,0.0969186,"736,283"
2014,Alaska,Black/white,0.0544824,"736,283"
2014,Alaska,Hispanic/white,0.1082968,"736,283"
2015,Alaska,Labor Force Participation,67,"737,498"
2015,Alaska,Unemployment rate,6.5,"737,498"
2015,Alaska,Average household size,2.84,"737,498"
2015,Alaska,Poverty rate,7,"737,498"
2015,Alaska,"Number of corruption convictions per 1,000,000 people",5.41688,"737,498"
2015,Alaska,Gini coefficient,0.43220001,"737,498"
2015,Alaska,GDP,72565.14579,"737,498"
2015,Alaska,Log(GDP),11.19224,"737,498"
2015,Alaska,Age,33.3,"737,498"
2015,Alaska,People with less than 9 years of education/people with college degree or above,0.0869412,"737,498"
2015,Alaska,Black/white,0.0578511,"737,498"
2015,Alaska,Hispanic/white,0.1145375,"737,498"
2005,Arizona,Labor Force Participation,64.6,"5,839,077"
2005,Arizona,Unemployment rate,4.7,"5,839,077"
2005,Arizona,Average household size,2.65,"5,839,077"
2005,Arizona,Poverty rate,10.9,"5,839,077"
2005,Arizona,"Number of corruption convictions per 1,000,000 people",8.22047,"5,839,077"
2005,Arizona,Gini coefficient,0.45999998,"5,839,077"
2005,Arizona,GDP,45123.11852,"5,839,077"
2005,Arizona,Log(GDP),10.71715,"5,839,077"
2005,Arizona,Age,34.5,"5,839,077"
2005,Arizona,People with less than 9 years of education/people with college degree or above,0.2687385,"5,839,077"
2005,Arizona,Black/white,0.0488043,"5,839,077"
2005,Arizona,Hispanic/white,0.4757212,"5,839,077"
2006,Arizona,Labor Force Participation,64.6,"6,029,141"
2006,Arizona,Unemployment rate,4.2,"6,029,141"
2006,Arizona,Average household size,2.72,"6,029,141"
2006,Arizona,Poverty rate,10.1,"6,029,141"
2006,Arizona,"Number of corruption convictions per 1,000,000 people",2.65378,"6,029,141"
2006,Arizona,Gini coefficient,0.454,"6,029,141"
2006,Arizona,GDP,44968.16167,"6,029,141"
2006,Arizona,Log(GDP),10.71371,"6,029,141"
2006,Arizona,Age,34.6,"6,029,141"
2006,Arizona,People with less than 9 years of education/people with college degree or above,0.2777193,"6,029,141"
2006,Arizona,Black/white,0.0542048,"6,029,141"
2006,Arizona,Hispanic/white,0.4915748,"6,029,141"
2007,Arizona,Labor Force Participation,63.7,"6,167,681"
2007,Arizona,Unemployment rate,3.9,"6,167,681"
2007,Arizona,Average household size,2.77,"6,167,681"
2007,Arizona,Poverty rate,10.2,"6,167,681"
2007,Arizona,"Number of corruption convictions per 1,000,000 people",5.18834,"6,167,681"
2007,Arizona,Gini coefficient,0.44800001,"6,167,681"
2007,Arizona,GDP,44947.0316,"6,167,681"
2007,Arizona,Log(GDP),10.71324,"6,167,681"
2007,Arizona,Age,34.9,"6,167,681"
2007,Arizona,People with less than 9 years of education/people with college degree or above,0.3002381,"6,167,681"
2007,Arizona,Black/white,0.0577199,"6,167,681"
2007,Arizona,Hispanic/white,0.5046728,"6,167,681"
2008,Arizona,Labor Force Participation,63.8,"6,280,362"
2008,Arizona,Unemployment rate,6.2,"6,280,362"
2008,Arizona,Average household size,2.81,"6,280,362"
2008,Arizona,Poverty rate,10.3,"6,280,362"
2008,Arizona,"Number of corruption convictions per 1,000,000 people",3.07684,"6,280,362"
2008,Arizona,Gini coefficient,0.45300001,"6,280,362"
2008,Arizona,GDP,42687.43954,"6,280,362"
2008,Arizona,Log(GDP),10.66166,"6,280,362"
2008,Arizona,Age,35.1,"6,280,362"
2008,Arizona,People with less than 9 years of education/people with college degree or above,0.3006624,"6,280,362"
2008,Arizona,Black/white,0.062337,"6,280,362"
2008,Arizona,Hispanic/white,0.518033,"6,280,362"
2009,Arizona,Labor Force Participation,63.2,"6,343,154"
2009,Arizona,Unemployment rate,9.9,"6,343,154"
2009,Arizona,Average household size,2.84,"6,343,154"
2009,Arizona,Poverty rate,11.6,"6,343,154"
2009,Arizona,"Number of corruption convictions per 1,000,000 people",2.88063,"6,343,154"
2009,Arizona,Gini coefficient,0.45100001,"6,343,154"
2009,Arizona,GDP,38673.50426,"6,343,154"
2009,Arizona,Log(GDP),10.56291,"6,343,154"
2009,Arizona,Age,34.9,"6,343,154"
2009,Arizona,People with less than 9 years of education/people with college degree or above,0.2768549,"6,343,154"
2009,Arizona,Black/white,0.0674129,"6,343,154"
2009,Arizona,Hispanic/white,0.5391872,"6,343,154"
2010,Arizona,Labor Force Participation,63.1,"6,407,172"
2010,Arizona,Unemployment rate,10.4,"6,407,172"
2010,Arizona,Average household size,2.69,"6,407,172"
2010,Arizona,Poverty rate,12.5,"6,407,172"
2010,Arizona,"Number of corruption convictions per 1,000,000 people",2.49465,"6,407,172"
2010,Arizona,Gini coefficient,0.45500001,"6,407,172"
2010,Arizona,GDP,40145.6753,"6,407,172"
2010,Arizona,Log(GDP),10.60027,"6,407,172"
2010,Arizona,Age,35.9,"6,407,172"
2010,Arizona,People with less than 9 years of education/people with college degree or above,0.2434381,"6,407,172"
2010,Arizona,Black/white,0.0712804,"6,407,172"
2010,Arizona,Hispanic/white,0.515392,"6,407,172"
2011,Arizona,Labor Force Participation,61.7,"6,472,643"
2011,Arizona,Unemployment rate,9.5,"6,472,643"
2011,Arizona,Average household size,2.69,"6,472,643"
2011,Arizona,Poverty rate,14.1,"6,472,643"
2011,Arizona,"Number of corruption convictions per 1,000,000 people",2.7767,"6,472,643"
2011,Arizona,Gini coefficient,0.46000001,"6,472,643"
2011,Arizona,GDP,40603.11229,"6,472,643"
2011,Arizona,Log(GDP),10.6116,"6,472,643"
2011,Arizona,Age,36.2,"6,472,643"
2011,Arizona,People with less than 9 years of education/people with college degree or above,0.2337871,"6,472,643"
2011,Arizona,Black/white,0.0716175,"6,472,643"
2011,Arizona,Hispanic/white,0.5249438,"6,472,643"
2012,Arizona,Labor Force Participation,60.5,"6,554,978"
2012,Arizona,Unemployment rate,8.3,"6,554,978"
2012,Arizona,Average household size,2.68,"6,554,978"
2012,Arizona,Poverty rate,13.6,"6,554,978"
2012,Arizona,"Number of corruption convictions per 1,000,000 people",5.18826,"6,554,978"
2012,Arizona,Gini coefficient,0.46079999,"6,554,978"
2012,Arizona,GDP,40939.88294,"6,554,978"
2012,Arizona,Log(GDP),10.61986,"6,554,978"
2012,Arizona,Age,36.6,"6,554,978"
2012,Arizona,People with less than 9 years of education/people with college degree or above,0.2326954,"6,554,978"
2012,Arizona,Black/white,0.0767599,"6,554,978"
2012,Arizona,Hispanic/white,0.529734,"6,554,978"
2013,Arizona,Labor Force Participation,59.6,"6,632,764"
2013,Arizona,Unemployment rate,7.7,"6,632,764"
2013,Arizona,Average household size,2.7,"6,632,764"
2013,Arizona,Poverty rate,13.6,"6,632,764"
2013,Arizona,"Number of corruption convictions per 1,000,000 people",6.03626,"6,632,764"
2013,Arizona,Gini coefficient,0.46810001,"6,632,764"
2013,Arizona,GDP,40767.07299,"6,632,764"
2013,Arizona,Log(GDP),10.61563,"6,632,764"
2013,Arizona,Age,36.8,"6,632,764"
2013,Arizona,People with less than 9 years of education/people with college degree or above,0.2323977,"6,632,764"
2013,Arizona,Black/white,0.074113,"6,632,764"
2013,Arizona,Hispanic/white,0.5346024,"6,632,764"
2014,Arizona,Labor Force Participation,59.9,"6,730,413"
2014,Arizona,Unemployment rate,6.8,"6,730,413"
2014,Arizona,Average household size,2.71,"6,730,413"
2014,Arizona,Poverty rate,13.2,"6,730,413"
2014,Arizona,"Number of corruption convictions per 1,000,000 people",4.30811,"6,730,413"
2014,Arizona,Gini coefficient,0.46759999,"6,730,413"
2014,Arizona,GDP,40616.10736,"6,730,413"
2014,Arizona,Log(GDP),10.61192,"6,730,413"
2014,Arizona,Age,36.9,"6,730,413"
2014,Arizona,People with less than 9 years of education/people with college degree or above,0.2339924,"6,730,413"
2014,Arizona,Black/white,0.0742684,"6,730,413"
2014,Arizona,Hispanic/white,0.5444558,"6,730,413"
2015,Arizona,Labor Force Participation,60,"6,829,676"
2015,Arizona,Unemployment rate,6.1,"6,829,676"
2015,Arizona,Average household size,2.71,"6,829,676"
2015,Arizona,Poverty rate,12.5,"6,829,676"
2015,Arizona,"Number of corruption convictions per 1,000,000 people",2.63618,"6,829,676"
2015,Arizona,Gini coefficient,0.4702,"6,829,676"
2015,Arizona,GDP,40924.32874,"6,829,676"
2015,Arizona,Log(GDP),10.61948,"6,829,676"
2015,Arizona,Age,37.4,"6,829,676"
2015,Arizona,People with less than 9 years of education/people with college degree or above,0.215767,"6,829,676"
2015,Arizona,Black/white,0.0790805,"6,829,676"
2015,Arizona,Hispanic/white,0.5518847,"6,829,676"
2005,Arkansas,Labor Force Participation,63.7,"2,781,097"
2005,Arkansas,Unemployment rate,5.2,"2,781,097"
2005,Arkansas,Average household size,2.48,"2,781,097"
2005,Arkansas,Poverty rate,13.4,"2,781,097"
2005,Arkansas,"Number of corruption convictions per 1,000,000 people",1.43828,"2,781,097"
2005,Arkansas,Gini coefficient,0.458,"2,781,097"
2005,Arkansas,GDP,38740.07992,"2,781,097"
2005,Arkansas,Log(GDP),10.56463,"2,781,097"
2005,Arkansas,Age,37,"2,781,097"
2005,Arkansas,People with less than 9 years of education/people with college degree or above,0.3724655,"2,781,097"
2005,Arkansas,Black/white,0.1981588,"2,781,097"
2005,Arkansas,Hispanic/white,0.0610042,"2,781,097"
2006,Arkansas,Labor Force Participation,63.7,"2,821,761"
2006,Arkansas,Unemployment rate,5.2,"2,821,761"
2006,Arkansas,Average household size,2.48,"2,821,761"
2006,Arkansas,Poverty rate,13.1,"2,821,761"
2006,Arkansas,"Number of corruption convictions per 1,000,000 people",3.54389,"2,821,761"
2006,Arkansas,Gini coefficient,0.46000001,"2,821,761"
2006,Arkansas,GDP,38045.19218,"2,821,761"
2006,Arkansas,Log(GDP),10.54653,"2,821,761"
2006,Arkansas,Age,37.1,"2,821,761"
2006,Arkansas,People with less than 9 years of education/people with college degree or above,0.4044376,"2,821,761"
2006,Arkansas,Black/white,0.20317,"2,821,761"
2006,Arkansas,Hispanic/white,0.0644399,"2,821,761"
2007,Arkansas,Labor Force Participation,63.2,"2,848,650"
2007,Arkansas,Unemployment rate,5.3,"2,848,650"
2007,Arkansas,Average household size,2.5,"2,848,650"
2007,Arkansas,Poverty rate,13.7,"2,848,650"
2007,Arkansas,"Number of corruption convictions per 1,000,000 people",2.80835,"2,848,650"
2007,Arkansas,Gini coefficient,0.46200001,"2,848,650"
2007,Arkansas,GDP,37447.30411,"2,848,650"
2007,Arkansas,Log(GDP),10.53069,"2,848,650"
2007,Arkansas,Age,37,"2,848,650"
2007,Arkansas,People with less than 9 years of education/people with college degree or above,0.3721047,"2,848,650"
2007,Arkansas,Black/white,0.2049075,"2,848,650"
2007,Arkansas,Hispanic/white,0.0681042,"2,848,650"
2008,Arkansas,Labor Force Participation,62.9,"2,874,554"
2008,Arkansas,Unemployment rate,5.5,"2,874,554"
2008,Arkansas,Average household size,2.49,"2,874,554"
2008,Arkansas,Poverty rate,13,"2,874,554"
2008,Arkansas,"Number of corruption convictions per 1,000,000 people",1.75107,"2,874,554"
2008,Arkansas,Gini coefficient,0.45899999,"2,874,554"
2008,Arkansas,GDP,37049.49499,"2,874,554"
2008,Arkansas,Log(GDP),10.52001,"2,874,554"
2008,Arkansas,Age,37.3,"2,874,554"
2008,Arkansas,People with less than 9 years of education/people with college degree or above,0.3658749,"2,874,554"
2008,Arkansas,Black/white,0.2050132,"2,874,554"
2008,Arkansas,Hispanic/white,0.0729382,"2,874,554"
2009,Arkansas,Labor Force Participation,61.7,"2,896,843"
2009,Arkansas,Unemployment rate,7.8,"2,896,843"
2009,Arkansas,Average household size,2.49,"2,896,843"
2009,Arkansas,Poverty rate,14.8,"2,896,843"
2009,Arkansas,"Number of corruption convictions per 1,000,000 people",1.03826,"2,896,843"
2009,Arkansas,Gini coefficient,0.461,"2,896,843"
2009,Arkansas,GDP,35483.74559,"2,896,843"
2009,Arkansas,Log(GDP),10.47683,"2,896,843"
2009,Arkansas,Age,37.1,"2,896,843"
2009,Arkansas,People with less than 9 years of education/people with college degree or above,0.3777864,"2,896,843"
2009,Arkansas,Black/white,0.2066487,"2,896,843"
2009,Arkansas,Hispanic/white,0.0796038,"2,896,843"
2010,Arkansas,Labor Force Participation,60.6,"2,921,964"
2010,Arkansas,Unemployment rate,8.2,"2,921,964"
2010,Arkansas,Average household size,2.55,"2,921,964"
2010,Arkansas,Poverty rate,14.1,"2,921,964"
2010,Arkansas,"Number of corruption convictions per 1,000,000 people",5.81872,"2,921,964"
2010,Arkansas,Gini coefficient,0.458,"2,921,964"
2010,Arkansas,GDP,36254.9064,"2,921,964"
2010,Arkansas,Log(GDP),10.49833,"2,921,964"
2010,Arkansas,Age,37.3,"2,921,964"
2010,Arkansas,People with less than 9 years of education/people with college degree or above,0.3248613,"2,921,964"
2010,Arkansas,Black/white,0.2133808,"2,921,964"
2010,Arkansas,Hispanic/white,0.0839324,"2,921,964"
2011,Arkansas,Labor Force Participation,60.5,"2,940,667"
2011,Arkansas,Unemployment rate,8.3,"2,940,667"
2011,Arkansas,Average household size,2.54,"2,940,667"
2011,Arkansas,Poverty rate,14.9,"2,940,667"
2011,Arkansas,"Number of corruption convictions per 1,000,000 people",2.72296,"2,940,667"
2011,Arkansas,Gini coefficient,0.4684,"2,940,667"
2011,Arkansas,GDP,36860.65496,"2,940,667"
2011,Arkansas,Log(GDP),10.5149,"2,940,667"
2011,Arkansas,Age,37.5,"2,940,667"
2011,Arkansas,People with less than 9 years of education/people with college degree or above,0.3067423,"2,940,667"
2011,Arkansas,Black/white,0.2124102,"2,940,667"
2011,Arkansas,Hispanic/white,0.0871193,"2,940,667"
